trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
12,15.320489883422852,0,1,2,glu,1.4500000000000002,0.25,0.00025253710106474506,0.00018183320013855016,1024
1,15.344234466552734,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
16,15.571125030517578,2,1,3,glu,1.35,0.2,8.87744816579227e-05,0.000265890284389071,128
15,15.629605293273926,0,2,4,glu,1.6500000000000001,0.4,0.00036103258329567555,7.212111285047957e-06,1024
6,15.655474662780762,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
4,15.681533813476562,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
2,15.694557189941406,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
13,15.725905418395996,0,1,1,glu,1.5,0.30000000000000004,0.0003151422361488503,4.733271028438235e-06,1024
19,15.727930068969727,1,0,3,glu,1.8,0.25,0.0002108314282020665,1.5969626978255405e-05,1024
9,15.728092193603516,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
