trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,14.291793823242188,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,18.684165954589844,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,11.294973373413086,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,20.118366241455078,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,15.323765754699707,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,20.929096221923828,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,24.874359130859375,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,15.390998840332031,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,13.422530174255371,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,19.246118545532227,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,14.685018539428711,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,12.315114974975586,3,2,6,mlp,1.05,0.35,0.0002103295519604263,0.0009391935906763813,128
12,12.054145812988281,2,2,5,glu,1.95,0.35,0.00025253710106474506,0.00021851637888877073,128
13,12.363100051879883,2,3,4,glu,1.95,0.45000000000000007,0.0003893968259492451,0.00019087592957624312,128
14,17.672258377075195,1,1,12,glu,1.6500000000000001,0.35,0.00031522072730949313,9.752521141499e-05,128
15,12.304267883300781,2,2,17,glu,1.95,0.30000000000000004,0.0009096015328440256,0.00035925650439701403,128
16,20.592683792114258,0,3,4,glu,1.55,0.4,9.805958046104932e-05,6.986228381681101e-06,1024
17,18.02571678161621,1,1,0,glu,1.35,0.30000000000000004,0.00010316978220772063,0.0004218533583937851,128
18,12.58986759185791,2,3,6,glu,1.8,0.45000000000000007,0.000558910246135816,7.950043700434116e-05,128
19,10.496195793151855,3,1,2,glu,1.3,0.25,0.00023567506574798735,0.00017957751113719167,128
