trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,20.523630142211914,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,17.7564754486084,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,15.887747764587402,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,27.067041397094727,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,16.027538299560547,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,24.060321807861328,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,17.577255249023438,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,19.512737274169922,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,21.803730010986328,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,17.002769470214844,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,16.514169692993164,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,17.01412010192871,3,2,11,mlp,1.3,0.35,0.00013278454488008872,1.6827740091315096e-05,128
12,15.824349403381348,2,3,5,glu,1.95,0.1,0.00034677716092813913,5.206974068068375e-06,128
13,18.049877166748047,2,3,5,glu,1.95,0.30000000000000004,0.00037289860207987346,5.443691733281761e-06,128
14,17.718246459960938,1,3,3,glu,1.6500000000000001,0.5,0.00028502647367439557,7.633519183320531e-06,128
15,18.268783569335938,2,1,17,glu,1.95,0.15000000000000002,0.0009096015328440256,1.1130922167674145e-06,128
16,17.36867904663086,0,2,5,glu,1.55,0.4,0.0002716063221563326,7.836363592903359e-05,1024
17,18.089275360107422,1,3,0,glu,1.8,0.15000000000000002,0.000502371776708891,5.890074892732708e-06,128
18,15.183268547058105,2,1,6,glu,1.35,0.25,0.00020219450031240736,0.00028002029701973885,128
19,16.71763801574707,2,1,5,glu,1.4000000000000001,0.25,8.138068382526618e-05,0.0002451387922158967,128
