trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
18,15.183268547058105,2,1,6,glu,1.35,0.25,0.00020219450031240736,0.00028002029701973885,128
12,15.824349403381348,2,3,5,glu,1.95,0.1,0.00034677716092813913,5.206974068068375e-06,128
2,15.887747764587402,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
4,16.027538299560547,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
10,16.514169692993164,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
19,16.71763801574707,2,1,5,glu,1.4000000000000001,0.25,8.138068382526618e-05,0.0002451387922158967,128
9,17.002769470214844,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
11,17.01412010192871,3,2,11,mlp,1.3,0.35,0.00013278454488008872,1.6827740091315096e-05,128
16,17.36867904663086,0,2,5,glu,1.55,0.4,0.0002716063221563326,7.836363592903359e-05,1024
6,17.577255249023438,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
