trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
18,19.226552963256836,2,1,12,glu,1.25,0.4,7.473255574449626e-05,2.8089624872546723e-05,512
3,19.433712005615234,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
19,19.549795150756836,3,1,12,glu,1.6500000000000001,0.4,9.917679033087919e-05,2.355182109483674e-05,512
6,19.563838958740234,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
8,19.58167839050293,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
11,19.63204002380371,1,0,17,mlp,1.05,0.35,6.871468573447045e-05,8.6928072170062e-05,128
0,19.64610481262207,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
14,19.648935317993164,1,0,14,mlp,1.3,0.5,4.391751454123859e-05,0.0001581816644174284,512
16,19.650775909423828,0,0,13,mlp,1.6,0.35,0.0002941856699291301,6.190435395245325e-05,1024
15,19.686437606811523,2,1,6,glu,1.05,0.30000000000000004,2.2015201949052667e-05,7.212111285047957e-06,256
