trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,18.684925079345703,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,28.93962287902832,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,15.011544227600098,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,17.695451736450195,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,15.605122566223145,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,28.18408966064453,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,15.501855850219727,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,18.784439086914062,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,25.40948486328125,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,14.981249809265137,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,19.167606353759766,0,3,0,glu,1.9000000000000001,0.5,0.0001585823669519063,9.464114674843985e-06,1024
11,14.851093292236328,0,2,6,glu,1.35,0.35,0.0007593429874288516,0.0007631607438834658,128
12,16.50707244873047,0,2,5,glu,1.35,0.35,0.0003498227300675482,7.842252662486992e-06,128
13,16.710412979125977,0,3,4,glu,1.55,0.45000000000000007,8.329336228985156e-05,7.719635409597337e-05,128
14,15.287056922912598,1,1,6,glu,1.6,0.35,0.00027726073474583496,2.258070151141576e-05,128
15,15.380704879760742,0,2,17,glu,1.35,0.30000000000000004,8.47877268613519e-05,0.00024519167346631957,256
16,14.42689037322998,2,4,2,glu,1.35,0.4,0.0009591595497231006,4.069347558810574e-06,256
17,14.112523078918457,2,1,0,glu,1.6500000000000001,0.45000000000000007,0.0008480339779406585,1.2850334707145365e-06,128
18,42.59168243408203,2,1,0,glu,1.7000000000000002,0.45000000000000007,0.0009715567688652775,1.3328155182326128e-06,1024
19,17.067781448364258,2,1,2,glu,1.95,0.45000000000000007,0.00042122591635614413,4.344177510049894e-06,128
