trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
16,13.565524101257324,2,3,5,mlp,1.55,0.4,0.0009551262309783648,5.999087676825798e-05,128
2,13.607070922851562,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
14,13.681683540344238,2,3,6,mlp,1.05,0.5,0.0002573349681991579,9.752521141499e-05,128
6,13.83290958404541,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
19,14.014785766601562,3,3,11,mlp,1.6,0.45000000000000007,0.0005259068470926638,0.0009790345656528674,128
17,14.088485717773438,3,2,4,glu,1.6500000000000001,0.4,0.0008476533709527172,5.890074892732708e-06,128
11,14.193582534790039,1,2,17,mlp,1.05,0.35,0.00013278454488008872,0.00017037146148687603,128
15,14.447587013244629,2,3,5,glu,1.4000000000000001,0.5,0.00027226910982836955,7.212111285047957e-06,128
18,14.604284286499023,2,3,2,glu,1.6,0.4,0.0005181207340252884,4.0938039180892444e-05,128
9,14.7335786819458,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
