trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
14,12.46424388885498,1,1,5,glu,1.3,0.5,0.0002573349681991579,5.4804557141969084e-06,128
9,12.538861274719238,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
16,12.721089363098145,2,1,4,glu,1.35,0.4,9.95837475469145e-05,1.2068605164306055e-06,256
2,13.255083084106445,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
17,13.274118423461914,1,4,1,glu,1.5,0.45000000000000007,2.128683392739557e-05,2.598716864259722e-05,128
11,13.471558570861816,0,2,6,glu,1.35,0.35,0.0007593429874288516,0.0007631607438834658,128
6,13.722986221313477,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
13,13.756721496582031,0,3,17,glu,1.35,0.30000000000000004,7.618259786576339e-05,8.764870300860706e-05,128
4,14.163354873657227,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
12,14.42475414276123,0,2,12,glu,1.6500000000000001,0.1,0.0003449383379517059,1.1912276421890632e-05,128
