trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
15,14.472318649291992,0,3,12,glu,1.4000000000000001,0.15000000000000002,7.297600147923439e-05,0.0009947336279637524,256
2,14.54944896697998,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
17,14.905421257019043,0,2,5,glu,1.35,0.30000000000000004,0.000776710936486604,6.440309512576207e-06,128
6,15.207247734069824,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
14,15.329021453857422,2,3,6,mlp,1.05,0.5,0.0002573349681991579,9.752521141499e-05,128
16,15.375876426696777,0,3,11,glu,1.5,0.15000000000000002,8.210306353345735e-05,0.0009152784338590188,256
10,15.664823532104492,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
19,15.748716354370117,1,3,3,glu,1.6,0.15000000000000002,0.00042114539169380895,0.00026456974132339246,128
9,15.900321960449219,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
11,16.04819679260254,1,2,17,mlp,1.05,0.35,0.00013278454488008872,0.00017037146148687603,128
