trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,26.11389923095703,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,26.19759178161621,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,26.07760238647461,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,26.36777114868164,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,26.320938110351562,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,26.569669723510742,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,26.36121368408203,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,26.24553680419922,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,25.953704833984375,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,25.92706871032715,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,26.3198184967041,0,3,0,glu,1.9000000000000001,0.5,0.0001585823669519063,9.464114674843985e-06,1024
11,26.168941497802734,3,2,6,mlp,1.35,0.30000000000000004,2.3835326895677e-05,0.0007630590451737503,128
12,26.465484619140625,2,1,5,mlp,1.6500000000000001,0.4,2.197156326393198e-05,1.1912276421890632e-05,256
13,26.101961135864258,3,1,17,glu,1.05,0.2,7.618259786576339e-05,0.00011606159532098608,512
14,26.044139862060547,2,1,6,glu,1.35,0.15000000000000002,2.8075072297040507e-05,5.4804557141969084e-06,512
15,26.146942138671875,1,2,2,mlp,1.35,0.25,9.481183168009609e-05,4.690017037877238e-05,256
16,26.109451293945312,3,3,8,mlp,1.55,0.15000000000000002,1.6924759373176498e-05,0.0003251666904244739,1024
17,26.22106170654297,0,4,12,glu,1.05,0.30000000000000004,0.0002029641020421039,1.2850334707145365e-06,128
18,26.33162498474121,1,1,4,mlp,1.25,0.45000000000000007,7.008672167741669e-05,2.1783638326353483e-05,512
19,26.270950317382812,2,2,7,glu,1.4000000000000001,0.25,1.4132242660380631e-05,8.870609897824289e-05,256
