trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
9,25.92706871032715,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
8,25.953704833984375,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
14,26.044139862060547,2,1,6,glu,1.35,0.15000000000000002,2.8075072297040507e-05,5.4804557141969084e-06,512
2,26.07760238647461,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
13,26.101961135864258,3,1,17,glu,1.05,0.2,7.618259786576339e-05,0.00011606159532098608,512
16,26.109451293945312,3,3,8,mlp,1.55,0.15000000000000002,1.6924759373176498e-05,0.0003251666904244739,1024
0,26.11389923095703,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
15,26.146942138671875,1,2,2,mlp,1.35,0.25,9.481183168009609e-05,4.690017037877238e-05,256
11,26.168941497802734,3,2,6,mlp,1.35,0.30000000000000004,2.3835326895677e-05,0.0007630590451737503,128
1,26.19759178161621,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
