trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
9,18.808191299438477,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
0,18.82541847229004,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
4,18.833934783935547,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
19,18.9049129486084,2,3,15,glu,1.55,0.1,6.65656075870242e-05,2.2960514062786513e-05,256
12,18.963804244995117,0,3,13,mlp,1.6500000000000001,0.1,0.0003449383379517059,9.614554381825949e-05,256
6,19.039649963378906,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
18,19.14484977722168,1,1,4,mlp,1.4000000000000001,0.25,0.00018451333637849963,4.869302537251105e-06,512
13,19.19615364074707,1,4,5,glu,1.35,0.30000000000000004,8.490884120526892e-05,1.2290323116341908e-05,512
11,19.237768173217773,1,4,17,mlp,1.35,0.35,0.0007556324348278079,5.80252768208445e-05,128
15,19.2995548248291,0,4,17,mlp,1.05,0.15000000000000002,9.481183168009609e-05,4.690017037877238e-05,256
