trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,17.937602996826172,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,17.92074203491211,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,17.924497604370117,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,18.093313217163086,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,17.611038208007812,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,18.105224609375,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,17.889738082885742,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,18.702476501464844,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,17.7744197845459,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,17.6422061920166,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,17.620346069335938,3,3,0,mlp,1.75,0.5,0.00012717182468493133,9.464114674843985e-06,1024
11,17.628746032714844,3,3,0,mlp,1.75,0.5,0.00013483364280125515,1.1852369939897007e-05,1024
12,17.922216415405273,3,3,4,mlp,1.95,0.4,0.00026801948373072885,6.924501333656515e-06,1024
13,17.71725082397461,2,4,17,mlp,1.7000000000000002,0.5,7.974415431824484e-05,7.332616926559977e-06,128
14,17.91944694519043,3,2,0,mlp,1.6500000000000001,0.4,8.316264993185367e-05,4.574402866714039e-06,256
15,17.63224220275879,2,3,5,mlp,1.9000000000000001,0.30000000000000004,0.00029151323982574956,1.1130922167674145e-06,1024
16,18.2750301361084,3,4,11,mlp,1.6,0.45000000000000007,5.48241616096384e-05,4.773618185168039e-05,256
17,17.88983917236328,3,3,12,mlp,1.35,0.30000000000000004,0.00021489426504010586,2.075854146607871e-05,1024
18,18.382266998291016,2,2,6,mlp,1.85,0.35,2.0172448070813565e-05,8.423022978305697e-05,128
19,17.721240997314453,3,1,2,mlp,1.35,0.25,0.00012166191303014201,1.6231560160830025e-05,1024
