trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
4,17.611038208007812,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
10,17.620346069335938,3,3,0,mlp,1.75,0.5,0.00012717182468493133,9.464114674843985e-06,1024
11,17.628746032714844,3,3,0,mlp,1.75,0.5,0.00013483364280125515,1.1852369939897007e-05,1024
15,17.63224220275879,2,3,5,mlp,1.9000000000000001,0.30000000000000004,0.00029151323982574956,1.1130922167674145e-06,1024
9,17.6422061920166,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
13,17.71725082397461,2,4,17,mlp,1.7000000000000002,0.5,7.974415431824484e-05,7.332616926559977e-06,128
19,17.721240997314453,3,1,2,mlp,1.35,0.25,0.00012166191303014201,1.6231560160830025e-05,1024
8,17.7744197845459,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
6,17.889738082885742,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
17,17.88983917236328,3,3,12,mlp,1.35,0.30000000000000004,0.00021489426504010586,2.075854146607871e-05,1024
