trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,11.254459381103516,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,10.771973609924316,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,11.283333778381348,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,11.762357711791992,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,11.180841445922852,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,11.991647720336914,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,11.122952461242676,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,11.730911254882812,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,11.667623519897461,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,11.272329330444336,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,13.812142372131348,0,2,1,glu,1.9000000000000001,0.5,0.00020358840762946278,1.08139169195176e-06,1024
11,12.46040153503418,1,0,17,mlp,1.55,0.35,0.00012123634441485429,6.352502797113638e-06,1024
12,10.853265762329102,0,1,2,glu,1.4500000000000002,0.25,0.00025253710106474506,0.00018183320013855016,1024
13,11.10704231262207,0,1,1,glu,1.5,0.30000000000000004,0.0003151422361488503,4.733271028438235e-06,1024
14,11.387371063232422,0,1,5,glu,1.4000000000000001,0.25,0.00013109833200274258,0.00011680662319989236,1024
15,11.53807258605957,0,2,4,glu,1.6500000000000001,0.4,0.00036103258329567555,7.212111285047957e-06,1024
16,10.859565734863281,2,1,3,glu,1.35,0.2,8.87744816579227e-05,0.000265890284389071,128
17,12.078569412231445,1,1,0,glu,1.7000000000000002,0.30000000000000004,0.0002029641020421039,5.2610012201075185e-05,1024
18,12.887022018432617,0,3,6,glu,1.6,0.45000000000000007,9.260553835179477e-05,2.3665421259210475e-06,1024
19,11.107281684875488,1,0,3,glu,1.8,0.25,0.0002108314282020665,1.5969626978255405e-05,1024
