trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
5,10.764225006103516,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
13,10.786847114562988,2,1,5,mlp,1.9000000000000001,0.25,1.0923571675638464e-05,8.64380195313648e-06,512
19,10.86503791809082,1,2,16,mlp,1.85,0.15000000000000002,1.5874674191918256e-05,4.522364574899968e-05,128
7,10.872797012329102,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
11,10.935608863830566,2,3,13,mlp,1.7000000000000002,0.30000000000000004,1.0965331375834817e-05,1.6724233858517898e-06,128
0,10.979691505432129,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
4,10.99172592163086,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
2,11.090070724487305,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
17,11.098898887634277,3,0,5,glu,1.75,0.4,7.510010389562577e-05,9.874928393918399e-06,512
15,11.10645866394043,2,1,5,glu,1.75,0.15000000000000002,2.1566798539741276e-05,0.0002455245288785074,512
