trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,14.62441635131836,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,14.555816650390625,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,14.740607261657715,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,14.853352546691895,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,14.664541244506836,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,14.892282485961914,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,14.686612129211426,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,15.311385154724121,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,14.813576698303223,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,14.679403305053711,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,15.515046119689941,0,2,1,glu,1.9000000000000001,0.5,0.00020358840762946278,1.08139169195176e-06,1024
11,14.464217185974121,1,3,1,mlp,1.5,0.35,0.00030808182698101766,8.071116256739427e-06,1024
12,14.651926040649414,0,3,1,glu,1.55,0.35,0.00018000554787310762,6.194163743922111e-06,1024
13,15.249947547912598,1,1,4,mlp,1.5,0.45000000000000007,0.0003190349158486015,5.224896973599631e-06,1024
14,14.849733352661133,2,3,4,mlp,1.7000000000000002,0.30000000000000004,9.34588413093879e-05,4.307851715386836e-06,1024
15,15.35603141784668,0,1,4,glu,1.4000000000000001,0.4,0.00010983421911902451,1.0322338759774047e-06,1024
16,14.536739349365234,1,2,0,mlp,1.6500000000000001,0.25,0.0003767114319334294,1.0584011055150863e-05,128
17,14.529101371765137,1,2,0,mlp,1.7000000000000002,0.30000000000000004,0.000404618981673262,1.2842550637943028e-05,128
18,14.507126808166504,2,3,6,mlp,1.8,0.35,0.0009256015825142956,5.084033599415612e-05,128
19,15.181730270385742,2,3,6,mlp,1.95,0.4,0.0008681301533079526,6.732713601778285e-05,128
