trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
11,14.464217185974121,1,3,1,mlp,1.5,0.35,0.00030808182698101766,8.071116256739427e-06,1024
18,14.507126808166504,2,3,6,mlp,1.8,0.35,0.0009256015825142956,5.084033599415612e-05,128
17,14.529101371765137,1,2,0,mlp,1.7000000000000002,0.30000000000000004,0.000404618981673262,1.2842550637943028e-05,128
16,14.536739349365234,1,2,0,mlp,1.6500000000000001,0.25,0.0003767114319334294,1.0584011055150863e-05,128
1,14.555816650390625,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
0,14.62441635131836,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
12,14.651926040649414,0,3,1,glu,1.55,0.35,0.00018000554787310762,6.194163743922111e-06,1024
4,14.664541244506836,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
9,14.679403305053711,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
6,14.686612129211426,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
