trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,18.68900489807129,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,18.377901077270508,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,18.54815673828125,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,18.494258880615234,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,18.64656639099121,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,19.081830978393555,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,18.605722427368164,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,20.21811866760254,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,18.69057846069336,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,18.52972984313965,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,21.36262321472168,0,2,1,glu,1.9000000000000001,0.5,0.00020358840762946278,1.08139169195176e-06,1024
11,18.65633773803711,1,0,3,glu,1.4500000000000002,0.35,0.00012123634441485429,5.52095140956541e-06,1024
12,18.583412170410156,0,1,5,glu,1.7000000000000002,0.35,0.00025253710106474506,5.6969344337250475e-05,1024
13,18.208919525146484,1,1,0,glu,1.35,0.45000000000000007,9.374211619032919e-05,6.254731300193151e-06,128
14,18.888566970825195,2,1,0,glu,1.5,0.5,9.34588413093879e-05,5.360315271797707e-06,128
15,18.801450729370117,0,2,3,glu,1.6500000000000001,0.4,9.666451671739586e-05,5.047788142641588e-06,128
16,19.07370376586914,1,1,2,glu,1.35,0.45000000000000007,0.0002941856699291301,2.3268449466638715e-06,1024
17,18.196250915527344,0,1,5,glu,1.6,0.25,0.00014612798043666026,9.964889532078427e-06,128
18,18.007349014282227,1,3,6,glu,1.6,0.30000000000000004,0.00043402393107401326,1.1026817011775632e-05,128
19,18.294578552246094,2,3,5,glu,1.6,0.30000000000000004,0.00042114539169380895,1.2338706922584978e-05,128
