trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
18,18.007349014282227,1,3,6,glu,1.6,0.30000000000000004,0.00043402393107401326,1.1026817011775632e-05,128
17,18.196250915527344,0,1,5,glu,1.6,0.25,0.00014612798043666026,9.964889532078427e-06,128
13,18.208919525146484,1,1,0,glu,1.35,0.45000000000000007,9.374211619032919e-05,6.254731300193151e-06,128
19,18.294578552246094,2,3,5,glu,1.6,0.30000000000000004,0.00042114539169380895,1.2338706922584978e-05,128
1,18.377901077270508,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
3,18.494258880615234,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
9,18.52972984313965,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
2,18.54815673828125,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
12,18.583412170410156,0,1,5,glu,1.7000000000000002,0.35,0.00025253710106474506,5.6969344337250475e-05,1024
6,18.605722427368164,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
