trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,18.351970672607422,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,18.59377098083496,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,18.806682586669922,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,18.41402816772461,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,18.458759307861328,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,19.077903747558594,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,18.369585037231445,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,19.428218841552734,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,18.742534637451172,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,18.385047912597656,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,18.98801040649414,1,3,17,mlp,1.75,0.5,0.0008802280671756734,7.451617972708859e-05,1024
11,18.34064483642578,1,2,15,mlp,1.05,0.35,0.0001752038947539102,0.00012281442738654532,128
12,18.297222137451172,1,2,13,mlp,1.05,0.35,0.00026889221018823445,9.614554381825949e-05,128
13,18.45655632019043,2,2,17,mlp,1.05,0.35,0.00021223297272287149,8.64380195313648e-06,128
14,19.1953067779541,1,1,13,mlp,1.95,0.45000000000000007,0.00028490395952304276,0.0002343673263230618,128
15,18.665599822998047,2,2,5,mlp,1.35,0.4,9.666451671739586e-05,0.00010271536832435113,128
16,18.784442901611328,0,3,0,mlp,1.6,0.30000000000000004,0.00010321429136495575,0.00037977964212657344,128
17,18.313762664794922,1,1,12,mlp,1.3,0.4,0.0004246072557261024,5.890074892732708e-06,128
18,18.4300537109375,2,1,12,mlp,1.35,0.45000000000000007,0.00043402393107401326,5.278096767205609e-06,128
19,18.369035720825195,0,1,12,mlp,1.3,0.4,0.0003696176763106448,4.5263304965090014e-06,128
