trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
12,18.297222137451172,1,2,13,mlp,1.05,0.35,0.00026889221018823445,9.614554381825949e-05,128
17,18.313762664794922,1,1,12,mlp,1.3,0.4,0.0004246072557261024,5.890074892732708e-06,128
11,18.34064483642578,1,2,15,mlp,1.05,0.35,0.0001752038947539102,0.00012281442738654532,128
0,18.351970672607422,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
19,18.369035720825195,0,1,12,mlp,1.3,0.4,0.0003696176763106448,4.5263304965090014e-06,128
6,18.369585037231445,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
9,18.385047912597656,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
3,18.41402816772461,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
18,18.4300537109375,2,1,12,mlp,1.35,0.45000000000000007,0.00043402393107401326,5.278096767205609e-06,128
13,18.45655632019043,2,2,17,mlp,1.05,0.35,0.00021223297272287149,8.64380195313648e-06,128
