trial,value,local_dem_cfg,regional_dem_cfg,lightweight,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,2611.7247192045365,2,7,True,180,16,3,24,176,48,0.3,0.0008706020878304854,0.000462258900102083,1024
1,2211.249752556931,3,3,False,150,32,6,12,208,16,0.45,0.00015304852121831474,1.2385137298860926e-05,1024
2,2477.8394623372938,6,6,True,360,32,4,12,32,64,0.35,0.00021137059440645722,4.201672054372529e-05,1024
3,2620.712511270054,5,7,True,450,16,4,4,96,32,0.35,0.00045443839603360173,5.170191786366994e-05,1024
4,2843.8133597669516,0,7,True,120,64,10,20,208,16,0.4,1.70505392602693e-05,0.0005323617594751496,128
5,2763.5220679335757,2,5,False,300,16,10,20,160,64,0.45,0.00011103647313054615,7.162786999897333e-05,1024
6,2365.0896455903853,2,4,True,270,64,5,4,96,16,0.6,0.00041327654594663655,0.00018484491720988634,1024
7,3439.475026205257,3,6,True,150,16,7,20,224,16,0.45,6.83631406502272e-05,2.781093697926551e-05,512
8,2375.3913457065014,3,5,False,480,32,7,8,96,16,0.5,0.00010124137770478642,1.2675278269816288e-05,256
9,3918.4934027429968,3,7,False,390,16,10,12,176,48,0.45,1.5155823539597614e-05,0.0004683871708118725,1024
10,2444.284231190973,0,1,False,210,48,12,16,256,32,0.55,3.643526297879779e-05,1.0408114757056237e-05,256
11,2273.535060791011,4,2,False,270,64,6,4,112,32,0.6,0.00029590234822869676,0.00018000554787310762,512
12,2526.663181644143,5,2,False,240,48,6,8,128,32,0.6,0.00023308686143743443,0.00012326922129713517,512
13,2701.353127091941,4,2,False,330,48,8,8,48,32,0.55,0.00020941409926631912,0.0002168343489820897,512
14,2523.700159869499,4,0,False,210,32,8,4,128,48,0.5,4.7870317786408646e-05,2.670340676363997e-05,128
15,2663.150411872654,1,3,False,120,64,6,16,208,16,0.55,0.00045285076448032727,0.00026630963951389453,512
16,2522.9830785191725,4,3,False,270,48,5,12,256,32,0.4,0.0009903931884844756,0.00011205297824965365,512
17,2619.1092974460844,6,1,False,180,32,9,8,64,16,0.5,0.00014681876985039294,0.0008264184064453516,256
18,2097.2071664667637,5,2,False,390,64,6,16,144,32,0.6,0.00031021339230683306,2.0241458141230937e-05,128
19,2569.958197401354,5,4,False,420,48,5,16,160,48,0.3,6.522330558519755e-05,1.704107708089098e-05,128
20,2805.0338851784068,6,0,False,360,32,3,16,224,16,0.4,3.0219409874978853e-05,2.0607781944453917e-05,128
21,2460.199686360638,4,2,False,330,64,6,24,128,32,0.6,0.00028143212351386415,4.197379229760657e-05,128
22,2487.344867519833,5,3,False,420,64,7,12,80,32,0.55,0.0001583374795783852,1.5911938552316558e-05,128
23,2547.7051222288787,4,1,False,270,64,6,20,144,32,0.6,0.00034260417781324475,7.546494564303383e-05,512
24,2339.139120469874,3,2,False,330,48,4,8,192,48,0.5,0.0007250502421735541,2.6022461137480183e-05,128
25,2461.687180988142,5,3,False,240,64,8,4,112,32,0.55,0.0005884820989950266,1.0043890625367886e-05,512
26,2705.5659322814176,3,4,False,390,48,5,12,144,16,0.6,0.00014694344581213283,0.00016581585893341385,1024
27,2505.0191833156123,4,1,False,150,32,7,16,160,32,0.35,0.00031443535543218743,0.00032210509741662787,256
28,2514.6776439186797,1,2,False,480,64,6,12,112,48,0.55,0.0005688813206951864,6.642147227775094e-05,1024
29,2480.5713490355542,2,3,True,180,48,9,24,176,48,0.3,6.961847600604458e-05,3.544810666878924e-05,512
30,2389.7470420311315,1,1,False,210,64,3,20,192,16,0.6,0.00020748658891170534,1.7628370594883802e-05,128
31,2274.4985327719714,3,2,False,330,48,4,8,192,64,0.5,0.0009430122079755817,2.2993122998353654e-05,128
32,2722.878763795143,2,2,False,360,32,4,8,240,64,0.5,0.0007470421887786187,1.4379042721526931e-05,128
33,2303.7002760091996,3,2,False,300,64,5,4,208,64,0.45,0.0005917642893174865,2.231672624647372e-05,128
34,2338.067363830735,5,3,True,390,48,3,4,192,64,0.4,0.0003882591401658754,3.802773996273387e-05,1024
35,2458.808079573359,4,4,False,300,32,4,8,144,32,0.5,0.00026632516892962374,5.2387025390632486e-05,128
36,2588.1773809637125,6,1,True,420,64,4,12,176,48,0.55,0.00016416741781198908,0.00014790748230181447,1024
37,6118.955994623669,2,5,False,330,48,6,4,224,64,0.4,0.00010965840267209864,1.2532859091120331e-05,1024
38,2550.7334402803936,3,0,True,450,16,7,8,112,32,0.45,0.000746176047969356,8.575461413737756e-05,128
39,3121.664880971032,5,2,False,360,64,5,12,160,16,0.6,0.00018730155834535857,0.00036162020683198627,1024
40,2866.909629076316,3,3,False,240,16,4,4,240,48,0.35,0.00012515689743990092,5.894693679405407e-05,256
41,2407.4324778536666,3,2,False,300,64,5,4,192,64,0.45,0.0005157420032509565,2.2139378122713e-05,128
42,2603.3601192710107,2,2,False,300,64,5,4,208,64,0.45,0.00039574570167279314,3.4022400150386385e-05,128
43,2482.7243714027973,4,1,False,300,64,12,8,208,64,0.45,1.0808525675932209e-05,1.2582202896732651e-05,128
44,2296.647997125963,3,2,False,360,64,6,4,240,64,0.5,0.000919954868937592,2.242769609265601e-05,128
45,2311.8534328464257,4,3,False,390,64,7,8,240,64,0.5,0.000940438265901488,3.058073272954559e-05,512
46,2328.1860531994957,3,4,True,120,48,6,16,80,64,0.5,0.0007446350968706849,2.06340018496837e-05,128
47,4127.453812618335,2,2,False,450,32,8,4,256,16,0.55,7.612875967073764e-05,5.026603013816717e-05,1024
48,3003.137702690113,4,5,False,360,48,9,8,224,48,0.6,8.775329735274514e-05,0.0002091098354656613,512
49,2451.3881227845354,3,6,False,150,64,7,16,128,32,0.55,0.00048145683013322605,1.3697010610761152e-05,128
50,2565.0446109410964,5,1,False,330,64,6,12,32,48,0.5,0.00024746686206248,2.5984032012778683e-05,256
51,2562.098826209951,3,2,False,270,64,5,4,208,64,0.45,0.0008065340675714117,1.9456910951786055e-05,128
52,2311.2289654089777,3,2,False,360,64,6,4,240,64,0.45,0.0006391885328064842,2.315722226478656e-05,128
53,2526.246107617435,4,3,False,330,64,5,4,176,64,0.4,0.0009383520957331493,1.661989640582057e-05,128
54,2303.290100124121,2,2,False,270,64,4,4,224,64,0.45,0.0005887996188467328,3.0133715319692356e-05,128
55,2859.9690276315437,2,3,False,240,64,3,4,224,32,0.5,0.0003431276570175876,1.1089919869591477e-05,128
56,2483.033704054565,1,1,False,390,32,11,20,240,64,0.4,0.00045384063303947095,9.69127790225882e-05,512
57,2461.378515812499,0,2,False,270,48,4,8,256,16,0.5,0.0003055391538857519,3.0241514511310544e-05,128
58,2455.052613019738,3,3,False,180,64,6,8,96,32,0.55,0.0006395992523777502,1.5863864256320193e-05,128
59,2440.2571022935103,2,2,True,210,32,7,16,224,48,0.6,0.0008613546031752425,0.0006414969117360709,512
60,2570.5930906483695,4,0,False,420,64,4,4,192,32,0.55,0.000388661468984975,0.00013431021553093143,1024
61,2575.9942280662713,3,2,False,270,64,5,4,208,64,0.45,0.0005408246695266379,2.311711769677456e-05,128
62,2371.8503642046057,3,1,False,330,64,5,4,208,64,0.45,0.0006648883954293336,4.4692207630855636e-05,128
63,2479.2682941808307,2,2,False,360,64,6,4,224,64,0.4,0.000966832171595093,1.9057360857600678e-05,128
64,2389.0534841664744,3,2,False,300,64,4,8,160,64,0.45,0.0005616938304700894,3.085325658093013e-05,128
65,2559.957026383484,3,3,False,300,64,3,4,176,64,0.5,0.0004417885546823975,1.461198515409136e-05,128
66,2565.9787983657284,6,1,False,270,64,6,8,128,64,0.6,0.0003452733360421296,2.5333899579196114e-05,256
67,2547.9323341313207,4,2,False,240,48,5,16,144,16,0.35,0.00022975787013457515,1.1669582746366307e-05,128
68,2485.42250197491,5,3,False,330,48,7,4,240,48,0.45,0.0008298515261456075,1.880068545230083e-05,512
69,2674.048756979087,2,4,False,360,64,4,12,192,64,0.45,0.00013004811995395336,3.744751542253113e-05,1024
70,2602.0693039381636,3,1,False,390,16,5,8,208,32,0.6,4.873889405023306e-05,0.00027149813941916676,128
71,2325.5261717443623,3,2,False,360,64,6,4,240,64,0.45,0.000656578805317934,2.3067548393211102e-05,128
72,2561.1604771844686,4,2,False,390,64,6,4,256,64,0.45,0.0006109915645149344,2.8169757209218613e-05,128
73,2469.8203319808104,3,2,False,330,64,6,4,224,64,0.4,0.0007019346715130077,1.5210454839840906e-05,128
74,2357.681758820591,3,2,False,420,64,5,4,240,64,0.45,0.0001777778549923449,2.229954762096381e-05,128
75,2412.656417619997,3,3,True,360,64,6,4,112,64,0.5,0.0005530441278510239,1.8353956146160177e-05,128
76,2283.9350922079457,2,2,False,330,32,7,4,96,64,0.4,0.000488300386736548,1.0067110069484753e-05,1024
77,2609.0489270830244,1,1,False,330,32,7,12,80,16,0.4,0.0004846634071427971,1.003285280503659e-05,1024
78,2590.3880943861054,2,2,False,300,32,8,4,64,64,0.35,0.00026944324085277334,1.3436451703698127e-05,1024
79,2437.098307046273,2,3,False,120,32,7,8,96,48,0.55,0.0004245952426416583,1.1726113426628324e-05,1024
80,2764.7160662040365,2,1,False,270,32,5,4,112,32,0.4,0.0003130013293095318,0.00016928120499678078,1024
81,2473.122859687233,2,2,False,390,32,7,4,64,64,0.45,0.0008159406063430181,1.7139293488709453e-05,128
82,2646.1200914038477,1,2,False,300,64,6,4,224,64,0.45,0.00037344905609425563,2.4457699570540717e-05,512
83,2502.9832053275636,5,2,False,360,64,6,16,96,64,0.3,0.0005128045934180989,3.378380881380649e-05,1024
84,2346.2119769284727,4,2,False,330,32,8,4,128,64,0.45,0.0008965674317857399,2.7306220409678335e-05,256
85,2692.9997232299593,3,3,False,330,48,6,4,256,64,0.5,2.1195770396465625e-05,2.149836077746445e-05,128
86,2162.54665946245,3,2,False,150,64,5,20,80,64,0.6,0.0006080757321888148,4.289330207467232e-05,128
87,2334.935418972707,6,1,True,150,64,4,24,48,64,0.6,0.00020171923215738546,4.272713877543921e-05,1024
88,2667.5104347237248,4,2,False,150,64,5,20,80,16,0.6,0.0006975834142686479,1.27028274525082e-05,512
89,2358.9064277691105,2,3,False,180,16,3,20,80,48,0.6,0.0007803399650074022,3.214198334309736e-05,128
90,2566.837158726134,4,2,False,120,64,4,20,96,64,0.6,0.0005944226999403655,4.851244477334779e-05,128
91,2465.784695199732,3,2,False,360,64,5,4,208,64,0.45,0.0006232414821044693,3.8307464852060156e-05,128
