trial,value,local_dem_cfg,regional_dem_cfg,lightweight,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,739.5664650857375,2,7,True,180,16,3,24,176,48,0.3,0.0008706020878304854,0.000462258900102083,1024
1,2822.9390289869825,3,3,False,150,32,6,12,208,16,0.45,0.00015304852121831474,1.2385137298860926e-05,1024
2,1285.562324993436,6,6,True,360,32,4,12,32,64,0.35,0.00021137059440645722,4.201672054372529e-05,1024
3,1041.7021395683116,5,7,True,450,16,4,4,96,32,0.35,0.00045443839603360173,5.170191786366994e-05,1024
4,1962.7575619514146,0,7,True,120,64,10,20,208,16,0.4,1.70505392602693e-05,0.0005323617594751496,128
5,1030.3010440177488,2,5,False,300,16,10,20,160,64,0.45,0.00011103647313054615,7.162786999897333e-05,1024
6,1048.4778337726264,2,4,True,270,64,5,4,96,16,0.6,0.00041327654594663655,0.00018484491720988634,1024
7,4569.464820218108,3,6,True,150,16,7,20,224,16,0.45,6.83631406502272e-05,2.781093697926551e-05,512
8,951.2806989350756,3,5,False,480,32,7,8,96,16,0.5,0.00010124137770478642,1.2675278269816288e-05,256
9,2026.5324120717205,3,7,False,390,16,10,12,176,48,0.45,1.5155823539597614e-05,0.0004683871708118725,1024
10,955.9173403766762,0,0,True,210,48,3,24,256,48,0.3,0.0009656245134970208,0.0001849967401712712,256
11,1269.5812819799132,4,3,False,480,32,8,8,112,32,0.55,5.090873160060645e-05,0.0009123037203379905,256
12,3796.8951772988567,1,5,False,240,48,12,16,128,48,0.55,3.5596074912522694e-05,1.0592929208521162e-05,256
13,907.4897603221625,2,1,False,360,32,8,8,48,32,0.5,0.0006770936721394789,0.00015669392751048485,512
14,943.785640058063,1,1,True,360,48,8,24,32,32,0.3,0.0007672943610382468,0.00015822739892352555,512
15,1178.178984645306,2,2,False,210,16,9,8,64,48,0.5,0.0003203023322213184,0.0003382143097322537,512
16,832.2446547673712,1,0,True,330,32,6,16,176,32,0.4,0.0006010146163171096,0.00011314589858643131,128
17,1112.0694033408117,1,0,True,300,16,3,16,176,64,0.35,0.00023822960569060123,0.0008735738692872449,128
18,851.8101352803502,4,2,True,420,32,5,24,144,48,0.4,0.0005821270264606714,0.0002863111925334345,128
19,891.0074769637677,0,4,True,210,48,6,16,256,32,0.3,0.0009973026847681409,0.00010271715778884248,128
20,922.0076072125431,1,2,True,330,16,4,20,192,48,0.4,0.00030834906265082384,2.3228514173882933e-05,128
21,911.3337079825242,4,1,True,420,32,5,24,144,48,0.4,0.0005495322406056335,0.0003099751618692833,128
22,1262.5090561589006,4,2,True,420,32,5,24,144,48,0.35,0.0005633215062807131,0.0002619294455934048,128
23,1178.2277905699627,5,0,True,270,32,6,20,160,32,0.4,0.00038444869638370197,9.979188211166452e-05,128
24,939.7652276996483,5,1,True,420,48,3,24,224,64,0.35,0.00018073979643458676,0.0005628527693202115,128
25,808.9093302628858,2,3,True,330,32,4,16,128,48,0.4,0.0005884820989950266,0.00023256999394815185,128
26,982.9254581742143,2,6,True,330,16,4,16,176,32,0.3,0.00030038957701223945,0.00010727409517850935,128
27,754.8718127693428,1,3,True,270,32,3,16,128,48,0.35,0.0008246847945257148,0.00043359459187635737,1024
28,1246.503801015214,2,3,True,180,48,3,12,112,64,0.3,0.0008248996221240302,0.0004239005179757909,1024
29,1665.4337947350712,3,3,True,120,32,3,12,80,48,0.35,0.00013883191208705393,0.000668191072933938,1024
30,948.176776361669,1,4,True,240,16,4,20,128,48,0.35,0.0007616958480779775,0.0003785152988862839,1024
31,937.1018343673298,1,3,True,330,32,6,16,192,48,0.4,0.0004977673749032831,0.00021437069768880093,1024
32,887.9229480223739,0,4,True,270,32,4,16,160,32,0.35,0.0009875431183679485,0.0006699186072874113,1024
33,691.5518018037661,1,5,True,300,32,4,12,128,64,0.4,0.0006572340456945015,0.00024158631353733822,1024
34,764.9786395973985,2,5,True,300,32,3,12,112,64,0.35,0.00041150495531129907,0.0002465230084487979,1024
35,1079.1349457689714,0,5,True,300,16,3,12,112,64,0.3,0.00042177389606654276,0.0006958693875074023,1024
36,2636.027842940582,2,6,True,240,64,3,12,80,64,0.35,2.4082090569217813e-05,0.00039320824212388424,1024
37,1287.730501758778,1,7,True,150,48,5,4,128,64,0.3,0.00018930776529166416,0.00014177851886355792,1024
38,1258.962393732635,3,6,True,180,32,3,8,80,64,0.45,0.00035525220136315767,0.0005071478892918991,1024
39,915.8470355469854,6,5,True,270,16,4,12,96,64,0.35,0.0002614842555984855,6.464093467585903e-05,1024
40,1265.3832967653289,2,6,True,300,16,5,4,144,64,0.3,0.00047429873923084364,0.0002422077810636344,1024
41,1005.5801596682801,2,4,True,390,32,4,12,128,48,0.4,0.0007040118479945108,0.00021761420243757891,1024
42,956.8738159964647,2,7,True,270,32,4,20,112,48,0.35,0.0008007978174399249,0.00031332086855529796,1024
43,3107.3377177365196,3,3,True,360,32,12,12,96,64,0.45,1.0808525675932209e-05,0.00020015426505563103,1024
44,1330.624668912655,1,5,False,330,32,3,8,160,64,0.4,0.0004436963614364871,0.00043445997818794205,1024
45,1051.7126830037967,2,4,True,300,32,4,16,128,48,0.35,6.730984498705814e-05,0.0005841750552890951,256
46,1011.9169281218019,0,3,True,240,48,3,12,112,48,0.4,0.000650438487432773,0.0002744126229809517,512
47,1117.1097515221697,3,6,False,360,64,11,16,192,64,0.45,0.0008655723463142491,0.0001684874953943147,1024
48,887.345222108915,1,5,True,390,32,7,20,160,48,0.6,0.0006664845226955951,0.00013463454701058517,256
49,1000.7792155105826,2,7,True,300,16,4,8,144,16,0.35,0.0004930174809518289,0.0009890874623531387,1024
50,893.9719771442051,2,4,False,180,32,5,12,64,64,0.3,0.00037428417014469077,0.000354390862852694,512
51,769.3689789695045,1,2,True,330,32,6,16,176,32,0.4,0.0005705964253431171,3.7199282462252096e-05,128
52,952.3366533188079,1,2,True,330,32,9,16,208,32,0.4,0.0006038363436715384,3.0860768711021655e-05,128
53,915.2005762239988,1,3,True,300,32,3,16,128,16,0.45,0.0008720527611656696,4.155427889673467e-05,128
54,908.8034152504064,0,2,True,360,32,4,16,208,32,0.4,0.0005243016558259113,6.241533227251609e-05,1024
55,926.3713022378155,1,3,True,270,48,7,20,144,48,0.4,0.0006975584397628865,8.150248746439842e-05,128
56,833.372508913661,2,2,True,300,32,5,12,160,48,0.5,0.00024200698659891762,4.6634576565879676e-05,256
57,1043.7691684271479,1,1,True,330,16,6,20,176,32,0.45,0.0003424285054603512,0.0007909862077587563,128
58,1054.804548192846,0,4,True,240,32,3,16,240,48,0.35,0.00042524453595164745,1.745742785898554e-05,1024
59,959.7896402967518,2,3,False,360,48,4,12,112,48,0.4,0.0009639676892562131,0.0004659795856948478,512
60,919.4728261129112,3,5,True,210,32,5,8,176,32,0.55,0.00014263203906987905,0.0002589156420327753,128
61,865.2495014371744,1,0,True,330,32,6,16,176,32,0.4,0.0005796648508739194,0.0001233516287186233,128
62,767.2471015575258,1,1,True,390,32,3,16,192,32,0.4,0.0007602173101070782,8.540805519704146e-05,128
63,971.6298701243571,1,1,True,390,32,3,16,192,32,0.4,0.0007304890864590165,0.0001778218352782361,128
64,1125.195822919796,2,2,True,120,32,3,20,192,16,0.35,0.0008525353206614958,9.140894862922335e-05,128
65,844.6407974978525,0,2,True,450,16,3,16,128,32,0.45,0.0006198528249471827,2.7445710521935056e-05,128
66,863.2953498001947,1,1,True,450,32,4,16,208,32,0.3,0.0005380754068983717,1.4634777208888482e-05,1024
67,887.9160805089365,1,6,True,270,32,3,12,224,48,0.35,0.0007695921153080125,0.00032211070690316346,128
68,983.9188868277739,2,2,True,300,48,4,24,96,48,0.4,0.00028356702899446945,0.00023480076401949913,1024
69,866.8022813318871,3,3,True,480,16,4,16,144,64,0.35,0.0009944842681162088,5.47160143328142e-05,128
70,733.7273124752807,0,4,True,360,32,3,20,160,32,0.3,0.00041106390725461923,0.00014482927273926655,1024
71,940.1003412952837,0,4,True,360,32,3,20,160,32,0.3,0.00040749064662580573,0.00014706310138166658,1024
72,821.8305422311846,0,4,True,390,32,3,24,160,32,0.3,0.0004868084970797356,0.00018587370093770276,1024
73,1732.8940285266447,1,5,True,330,32,3,24,128,32,0.3,3.876590613524763e-05,8.047016139801332e-05,1024
74,993.1289750563286,0,3,True,390,32,4,20,176,32,0.3,8.533501236265549e-05,3.565256231217095e-05,1024
75,846.4355411266471,1,4,True,330,32,3,16,192,32,0.35,0.0006207867439862179,0.0002917813263402068,1024
76,828.9791531535055,2,5,True,360,32,4,16,112,64,0.4,0.0008762891782381151,0.00011685488767390188,1024
77,753.77429308886,0,7,False,330,32,9,12,144,16,0.4,0.0007207184721759911,0.00020313831441685904,256
78,917.849994953713,0,7,False,420,48,8,12,160,16,0.3,0.0007333002101873653,0.00038270075170664916,256
79,1554.1703308556323,0,7,False,330,32,9,12,144,16,0.35,0.0003307070105809147,0.00015531620635638244,256
80,741.7699809884967,0,6,False,300,16,9,12,176,16,0.4,0.00044780869482253654,0.0005989252451737078,256
81,948.7887859583351,0,6,False,300,16,9,12,176,16,0.4,0.0004398584340717301,0.0005448626750259071,256
82,820.5490654675624,0,7,False,360,16,10,12,192,16,0.4,0.0005158746987767621,0.0007701119670984592,256
83,1057.5055841947124,0,6,False,300,16,8,12,176,16,0.4,0.0006613008976932886,0.0004527074931998769,256
84,795.6280408480296,1,7,False,300,16,9,12,160,16,0.45,0.000199830276608338,0.0002249390817911869,256
85,692.6027035355614,0,6,False,270,16,11,8,144,16,0.35,0.00037986230576058473,0.0006015722093779581,256
86,1150.5333482622123,0,6,False,240,16,11,8,144,16,0.35,0.00037983582995623484,0.0004886279102239045,256
87,1025.0956210439924,0,5,False,270,16,11,4,128,16,0.35,0.0002809551722898478,0.0005962632495192212,256
88,861.1583746640534,0,6,False,270,16,12,8,144,16,0.3,0.00022857416789606125,0.0006209440759396362,256
89,1059.6225234715698,0,7,False,270,16,10,4,112,16,0.35,0.0008125141910920705,0.00035536889010294974,256
90,1304.0611081366612,0,6,False,240,16,11,12,128,16,0.35,0.0004597692550452053,0.0007805819397778555,256
91,1512.2629659236652,1,7,False,330,32,8,12,160,16,0.4,0.0005778680028506394,0.00019149076288809118,512
92,1006.8478591946015,1,5,False,300,32,3,12,176,64,0.4,0.0009162473084422351,0.0001305991532807421,1024
93,893.9494638437442,1,6,False,360,32,7,8,144,32,0.35,0.0007087046470280748,0.00041131515138500386,256
94,1445.6329705323296,0,7,False,270,32,10,16,176,16,0.45,0.00017169540387595178,0.0005215165888365796,1024
95,966.2610699950432,1,0,True,300,16,10,24,192,64,0.4,0.00038884295181566955,0.0002082267343163346,1024
96,844.875674314353,1,5,True,150,32,3,12,208,32,0.3,0.0005396091562360997,0.0006877676696878041,256
97,915.4597075316219,0,7,True,330,32,9,16,144,16,0.4,0.0007682630322513842,2.2522880722528665e-05,1024
98,1036.128916806534,0,5,False,210,16,3,8,160,32,0.4,0.0006724396500174287,0.0002503930257748223,1024
99,928.4153655935587,1,6,True,330,32,7,20,112,64,0.35,0.00048011614461544516,0.0009123830420689456,256
