trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,28.97715187072754,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,28.692785263061523,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,29.140077590942383,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,28.640127182006836,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,29.524538040161133,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,28.41066551208496,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,29.442394256591797,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,28.701169967651367,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,28.904064178466797,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,28.681833267211914,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,28.622697830200195,4,4,17,0.4,0.0001739181495259443,0.0005284384205738847,1024
11,28.76770782470703,4,4,17,0.4,0.00015266381119076206,0.0007211996722660229,1024
12,28.89409637451172,4,5,17,0.45000000000000007,9.426604869588051e-05,0.0007883766161829287,1024
13,28.460079193115234,2,3,9,0.4,0.0004481741920454474,0.0009630821198598023,1024
14,28.894325256347656,2,3,10,0.5,0.0007056546801317584,0.0009759659185808084,1024
15,28.53913116455078,2,2,9,0.30000000000000004,0.0004718305512166081,6.704760342149861e-05,1024
16,29.150020599365234,2,5,6,0.4,0.00021063979781445145,0.0003218040431158817,1024
17,28.92385482788086,1,2,11,0.45000000000000007,0.0004972454855213557,1.0332855569626115e-06,1024
18,28.80610466003418,3,5,7,0.35,6.463025195300868e-05,1.466586166976249e-05,256
19,28.77931785583496,1,2,2,0.45000000000000007,0.00012101285149470476,0.00036000169783026713,128
20,28.69131851196289,3,3,3,0.25,0.00030883665136822086,0.00012787669552820734,1024
21,28.731426239013672,2,2,8,0.30000000000000004,0.0005079598780464708,6.649406381609111e-05,1024
22,28.63646125793457,2,3,10,0.30000000000000004,0.00045374253397603345,0.00046609725635906034,1024
23,28.542598724365234,2,2,9,0.2,0.0009128488043910653,1.5068059710400316e-05,1024
24,28.721107482910156,2,0,12,0.4,0.00033301806667911983,0.00020159838376213656,1024
25,28.64554786682129,1,2,15,0.35,0.0005955465595409588,7.275792580924098e-05,1024
26,29.141294479370117,3,3,8,0.2,1.384478540948663e-05,0.0005427249679132919,1024
27,29.217599868774414,2,5,4,0.5,0.0002098011874758796,3.597425951639936e-05,128
28,28.9100341796875,2,4,11,0.45000000000000007,0.00013558013656389924,0.0009165357724787513,256
29,28.68670654296875,1,6,15,0.30000000000000004,0.00039984059196405936,6.680203847908876e-06,256
