trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
25,11.574434280395508,4,4,11,0.4,0.0001141576143905741,0.00014618632735133227,128
10,11.687642097473145,4,4,17,0.4,0.0001739181495259443,0.0005284384205738847,1024
23,11.693133354187012,2,4,11,0.4,0.00024968430874586044,0.00015965157222639847,128
22,11.709609985351562,4,5,11,0.5,0.00023634668507693324,0.0001687088075688912,128
19,11.71747875213623,2,5,7,0.45000000000000007,0.0002502939337299149,8.97483551319321e-05,128
5,11.718012809753418,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
17,11.724457740783691,4,4,15,0.45000000000000007,0.00017382944114295625,1.0332855569626115e-06,1024
11,11.753026962280273,4,4,17,0.4,0.00015266381119076206,0.0007211996722660229,1024
29,11.753070831298828,1,4,13,0.35,5.642763801991277e-05,0.00030200889545197807,256
9,11.781417846679688,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
