trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,22.62208366394043,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,22.10370635986328,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,22.179677963256836,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,21.729358673095703,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,26.157119750976562,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,26.058998107910156,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,26.989917755126953,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,22.32124137878418,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,22.92753791809082,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,21.27915382385254,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,21.408504486083984,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,21.634126663208008,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,21.839557647705078,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
13,21.783550262451172,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
14,21.084056854248047,1,4,17,0.4,0.0005195327679497966,9.811581235264329e-06,128
15,21.48643684387207,2,5,17,0.4,0.00012405259708663286,4.5834797585993096e-06,128
16,21.4606990814209,0,4,13,0.25,0.0004894057592170779,8.063041878866318e-06,128
17,21.22732162475586,1,5,16,0.4,0.00019826558087543362,6.789231651845226e-05,128
18,26.940067291259766,2,5,16,0.45000000000000007,1.1057952502996789e-05,6.682893181074443e-05,256
19,26.86981964111328,1,6,17,0.4,0.00017904319826816606,0.0009630635742442177,1024
20,21.529415130615234,2,5,15,0.45000000000000007,7.013968806909694e-05,1.0061284907041791e-06,128
21,21.429527282714844,0,4,13,0.30000000000000004,0.00023066090533406536,2.1311182371819794e-05,128
22,21.570476531982422,1,4,11,0.35,0.0005123904004088809,5.17790561869542e-05,128
23,21.322351455688477,1,2,15,0.4,0.0004264955917095842,2.6351005019053396e-05,128
24,21.382471084594727,0,5,12,0.30000000000000004,0.00021432184183585573,9.141235830889567e-05,128
25,21.61788558959961,0,3,17,0.2,0.00011584875582073772,7.800411135640259e-06,128
26,21.444005966186523,1,4,8,0.45000000000000007,0.0003384013457716382,1.4087592906884633e-05,128
27,21.690568923950195,2,5,15,0.4,0.0009557061338253933,3.140712202950072e-05,1024
28,21.31255531311035,1,2,16,0.35,0.0006642306465761619,1.8215796355428763e-06,256
29,21.721576690673828,0,6,13,0.35,5.6525769205675546e-05,5.356678059544208e-06,256
