trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,32.343475341796875,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,31.33696937561035,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,31.771038055419922,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,32.006107330322266,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,31.142072677612305,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,31.421356201171875,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,30.595592498779297,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,31.517976760864258,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,31.74285888671875,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,31.603527069091797,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,32.47403335571289,1,2,9,0.25,1.1072909499544989e-05,3.2483553741786474e-05,1024
11,31.300596237182617,1,3,9,0.2,5.5480213985919266e-05,4.771437881813328e-05,1024
12,31.043241500854492,0,2,5,0.4,3.0400644677722014e-05,8.172011107913199e-05,512
13,31.570077896118164,2,0,5,0.4,1.1672711987380448e-05,1.145778133887367e-05,1024
14,31.20252227783203,1,2,17,0.30000000000000004,8.528513785483321e-05,0.0008863392106617197,512
15,31.408405303955078,2,1,11,0.4,2.465233025381007e-05,1.2651343911332285e-05,1024
16,31.544105529785156,0,2,6,0.30000000000000004,5.684690209696558e-05,1.2332191999693553e-06,128
17,31.398149490356445,1,1,3,0.2,0.0001462250452696292,7.097397136543199e-05,256
18,32.694698333740234,0,2,8,0.4,1.9159986993035116e-05,0.0003476549602133258,512
19,31.454059600830078,2,0,11,0.35,3.674321429508226e-05,2.1673759672900592e-05,1024
20,31.529552459716797,1,4,3,0.25,1.5111646575329557e-05,6.935156969826767e-05,512
21,31.178586959838867,0,3,2,0.45000000000000007,3.5221186408043515e-05,0.00012039510472011176,512
22,31.28105926513672,0,3,7,0.45000000000000007,3.1294252507708104e-05,0.0001061811725550529,512
23,31.402729034423828,0,3,0,0.5,5.39088306978746e-05,6.057651075875371e-05,512
24,31.656963348388672,1,2,3,0.45000000000000007,0.00012564087285052612,1.9495019626560355e-05,512
25,34.45381164550781,0,1,10,0.4,7.778088743137321e-05,0.00013171060272478384,1024
26,32.29283142089844,1,3,15,0.35,4.935252789107996e-05,4.2136448112626444e-05,256
27,31.3695125579834,0,4,7,0.30000000000000004,1.657953740558389e-05,0.00018704422265413185,128
28,32.11235046386719,2,2,4,0.5,2.7774899053543366e-05,0.00036533334517407,512
29,31.130199432373047,1,5,1,0.2,1.5121954377312698e-05,0.00010286097312035733,256
