trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
6,30.595592498779297,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
12,31.043241500854492,0,2,5,0.4,3.0400644677722014e-05,8.172011107913199e-05,512
29,31.130199432373047,1,5,1,0.2,1.5121954377312698e-05,0.00010286097312035733,256
4,31.142072677612305,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
21,31.178586959838867,0,3,2,0.45000000000000007,3.5221186408043515e-05,0.00012039510472011176,512
14,31.20252227783203,1,2,17,0.30000000000000004,8.528513785483321e-05,0.0008863392106617197,512
22,31.28105926513672,0,3,7,0.45000000000000007,3.1294252507708104e-05,0.0001061811725550529,512
11,31.300596237182617,1,3,9,0.2,5.5480213985919266e-05,4.771437881813328e-05,1024
1,31.33696937561035,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
27,31.3695125579834,0,4,7,0.30000000000000004,1.657953740558389e-05,0.00018704422265413185,128
