trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,12.701974868774414,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,11.191791534423828,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,12.686594009399414,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,11.04088020324707,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,13.12236213684082,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,40.1889762878418,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,14.964296340942383,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,11.02015209197998,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,12.114348411560059,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,10.512486457824707,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,10.684188842773438,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,10.44399356842041,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,10.649621963500977,0,4,10,0.4,0.0004414973500475081,3.584903725849027e-05,128
13,10.579904556274414,2,2,8,0.30000000000000004,0.0003209584308143897,1.1538327053251592e-06,128
14,10.534590721130371,1,4,17,0.4,0.00017113402916309452,1.1468235069034277e-05,128
15,10.593098640441895,2,5,11,0.25,0.0009818247569037453,7.820833328059738e-05,128
16,10.6159086227417,0,2,7,0.35,0.0004894057592170779,1.992504342086102e-05,128
17,10.702563285827637,1,3,12,0.2,0.0002229027772107736,6.37851821285387e-06,128
18,11.05374813079834,0,5,15,0.4,9.417167795647006e-05,4.773618185168039e-05,256
19,20.17551040649414,2,2,7,0.30000000000000004,0.0006643169219882979,2.3730482628329725e-05,1024
20,11.097694396972656,1,4,4,0.45000000000000007,0.000402304658179042,5.801212986422415e-06,128
21,10.730801582336426,1,4,17,0.4,0.0001581512286521426,1.3259333874085893e-05,128
22,10.449769973754883,2,4,17,0.35,0.00014770876227663583,2.1957454907354966e-06,128
23,11.090027809143066,2,5,12,0.35,6.576610812351347e-05,1.7130955581810803e-06,128
24,10.704965591430664,0,3,15,0.30000000000000004,0.0003018099673875256,2.894537778564399e-06,128
25,10.816292762756348,2,3,9,0.45000000000000007,0.00011986006833455199,0.0009109886362616895,128
26,12.41974925994873,3,4,13,0.35,1.384478540948663e-05,6.603550462007298e-05,128
27,27.61504554748535,1,2,16,0.30000000000000004,0.0002125236110224162,7.411768459292978e-06,1024
28,10.593725204467773,2,5,11,0.25,0.0006642306465761619,4.443059363488636e-06,256
29,12.56656551361084,0,6,13,0.35,5.6525769205675546e-05,2.3511601404582506e-06,256
