trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
11,10.44399356842041,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
22,10.449769973754883,2,4,17,0.35,0.00014770876227663583,2.1957454907354966e-06,128
9,10.512486457824707,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
14,10.534590721130371,1,4,17,0.4,0.00017113402916309452,1.1468235069034277e-05,128
13,10.579904556274414,2,2,8,0.30000000000000004,0.0003209584308143897,1.1538327053251592e-06,128
15,10.593098640441895,2,5,11,0.25,0.0009818247569037453,7.820833328059738e-05,128
28,10.593725204467773,2,5,11,0.25,0.0006642306465761619,4.443059363488636e-06,256
16,10.6159086227417,0,2,7,0.35,0.0004894057592170779,1.992504342086102e-05,128
12,10.649621963500977,0,4,10,0.4,0.0004414973500475081,3.584903725849027e-05,128
10,10.684188842773438,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
