trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,21.404338836669922,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,19.79254913330078,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,21.50324249267578,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,24.071523666381836,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,28.859455108642578,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,39.009193420410156,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,21.042884826660156,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,18.204858779907227,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,29.505918502807617,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,16.269746780395508,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,16.22161102294922,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,15.771425247192383,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,13.233567237854004,1,3,9,0.4,0.0008346639415819694,1.2088179189460858e-05,128
13,14.350403785705566,2,3,9,0.4,0.0009740646200040044,1.1113129638550507e-06,128
14,15.628517150878906,2,2,7,0.4,0.00036816990911136595,1.5873128009203446e-06,128
15,14.654868125915527,2,4,8,0.4,0.0009818247569037453,1.3144124963880187e-06,128
16,17.499202728271484,2,2,11,0.25,0.0001442554065073416,5.5017980933962125e-06,128
17,16.63454818725586,1,2,5,0.45000000000000007,0.0004525991022753236,1.0332855569626115e-06,128
18,16.876628875732422,2,5,3,0.30000000000000004,0.0002062009247601099,5.786967645814677e-05,256
19,24.354692459106445,3,5,7,0.4,7.255988391946224e-05,6.508552200806673e-06,1024
20,16.342727661132812,1,2,17,0.45000000000000007,0.0004896693263454789,2.4943078973359283e-06,128
21,14.45227336883545,2,4,8,0.4,0.0009886481454771212,1.0768628070039814e-06,128
22,13.077964782714844,2,3,9,0.30000000000000004,0.0009973454411995998,2.2603694025920173e-06,128
23,16.038230895996094,2,3,11,0.30000000000000004,0.0005915345557674164,2.1362362113688114e-06,128
24,15.317621231079102,3,3,9,0.2,0.00029458125213595765,4.8168813572128065e-06,128
25,15.443334579467773,1,3,6,0.30000000000000004,0.0005711821464843563,1.0598653518783059e-05,128
26,20.22978973388672,2,2,12,0.2,1.384478540948663e-05,2.3188396992498532e-05,128
27,23.47480583190918,2,4,9,0.45000000000000007,0.000687534027051362,3.7713800304648726e-06,1024
28,17.442485809326172,0,0,3,0.35,0.00045215271789706416,1.96632342074288e-06,256
29,21.893207550048828,1,4,11,0.4,0.00021806915807933656,7.569749348765641e-06,256
