trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,16.287885665893555,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,15.828368186950684,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,16.547531127929688,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,15.94727611541748,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,17.21625518798828,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,20.57927703857422,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,16.37813377380371,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,16.053333282470703,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,16.491477966308594,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,15.627081871032715,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,15.762239456176758,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,15.693421363830566,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,15.76063346862793,0,4,10,0.4,0.0004414973500475081,3.584903725849027e-05,128
13,15.857196807861328,2,2,8,0.30000000000000004,0.0003209584308143897,1.1538327053251592e-06,128
14,15.83346939086914,1,4,17,0.4,0.00017113402916309452,1.1468235069034277e-05,128
15,15.74763298034668,2,5,11,0.25,0.0009818247569037453,7.820833328059738e-05,128
16,15.7982177734375,0,2,7,0.35,0.0004894057592170779,1.992504342086102e-05,128
17,15.659025192260742,1,3,12,0.2,0.0002229027772107736,6.37851821285387e-06,128
18,16.445375442504883,0,5,12,0.15000000000000002,1.1333191834812892e-05,4.8606954036489054e-06,256
19,15.993219375610352,2,2,15,0.2,7.809283155073319e-05,1.4820641686085684e-06,1024
20,16.013071060180664,1,4,6,0.2,0.00014203894171699498,5.894142761453959e-06,128
21,15.741179466247559,1,3,9,0.30000000000000004,0.0002753776236586202,2.338407492696602e-05,128
22,15.707310676574707,2,3,12,0.35,0.0006014827351957476,4.77459002486558e-05,128
23,15.770066261291504,1,3,12,0.4,0.00032273566021194663,9.08581703614988e-06,128
24,15.838665962219238,0,2,9,0.30000000000000004,0.00021432184183585573,2.5284707877620443e-05,128
25,15.78534984588623,0,4,14,0.2,0.00010057320716523917,1.8360802212250209e-06,128
26,15.943448066711426,1,5,11,0.45000000000000007,0.0004193495173598357,6.992934972302679e-06,128
27,15.6746826171875,2,3,17,0.25,0.0005710679040084441,5.841341561651732e-05,1024
28,15.778756141662598,2,4,17,0.15000000000000002,0.00011725524081993202,7.254069573261484e-05,1024
29,15.906781196594238,2,6,15,0.25,5.6525769205675546e-05,2.243801041647402e-06,1024
