trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,20.70758628845215,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,17.450780868530273,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,15.233241081237793,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,29.00086784362793,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,17.843006134033203,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,32.85324478149414,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,13.930902481079102,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,11.94616413116455,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,14.267960548400879,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,12.986425399780273,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,14.128231048583984,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
11,13.635529518127441,2,3,10,0.4,0.0005490065222391831,6.684688921025685e-05,128
12,14.132769584655762,3,4,10,0.4,0.0002697612371687351,1.4547307271298103e-05,128
13,12.566984176635742,2,0,4,0.30000000000000004,0.0003446511659889723,0.0009167928239443315,128
14,11.563197135925293,2,0,3,0.2,0.00012629302843839664,0.0009625018781980827,128
15,12.807365417480469,3,1,2,0.15000000000000002,9.040716814294697e-05,0.0002738117632805803,128
16,10.784544944763184,1,0,3,0.25,0.00015107653087335611,0.00013360400835869202,128
17,11.905732154846191,1,0,7,0.2,0.0001462250452696292,1.0332855569626115e-06,128
18,19.34186553955078,1,2,3,0.25,1.062522767222648e-05,0.0005003055654953145,256
19,15.639471054077148,1,2,7,0.2,0.00013368754145235377,0.0009806075874874505,1024
20,11.801044464111328,2,0,3,0.1,5.675340745421165e-05,0.00010115023436282845,128
21,11.560654640197754,2,0,3,0.1,6.42900218497509e-05,0.00010763214296396578,128
22,12.079620361328125,2,0,5,0.15000000000000002,7.978953801136417e-05,0.0004024213491547549,128
23,11.48580265045166,2,1,2,0.2,0.00018671146541532674,4.0408151748492986e-05,128
24,12.346769332885742,1,1,1,0.1,0.0001845779885404339,3.6702611705229935e-05,128
25,11.439889907836914,1,2,2,0.30000000000000004,6.172889457025799e-05,7.149787999003403e-05,128
26,11.616036415100098,0,2,6,0.30000000000000004,0.0005312443860865522,2.2450520927400452e-05,128
27,15.043356895446777,1,2,1,0.25,0.00019480385963089737,6.629226777186572e-05,1024
28,29.2569580078125,1,1,2,0.35,0.00010813146613887815,5.435357822046615e-05,256
29,19.29395866394043,0,3,10,0.30000000000000004,5.6525769205675546e-05,0.00016235639597261055,256
