trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
16,10.784544944763184,1,0,3,0.25,0.00015107653087335611,0.00013360400835869202,128
25,11.439889907836914,1,2,2,0.30000000000000004,6.172889457025799e-05,7.149787999003403e-05,128
23,11.48580265045166,2,1,2,0.2,0.00018671146541532674,4.0408151748492986e-05,128
21,11.560654640197754,2,0,3,0.1,6.42900218497509e-05,0.00010763214296396578,128
14,11.563197135925293,2,0,3,0.2,0.00012629302843839664,0.0009625018781980827,128
26,11.616036415100098,0,2,6,0.30000000000000004,0.0005312443860865522,2.2450520927400452e-05,128
20,11.801044464111328,2,0,3,0.1,5.675340745421165e-05,0.00010115023436282845,128
17,11.905732154846191,1,0,7,0.2,0.0001462250452696292,1.0332855569626115e-06,128
7,11.94616413116455,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
22,12.079620361328125,2,0,5,0.15000000000000002,7.978953801136417e-05,0.0004024213491547549,128
