trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,18.77836036682129,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,15.891763687133789,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,30.43682098388672,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,22.065250396728516,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,20.70585060119629,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.638906478881836,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,22.15492057800293,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,16.372922897338867,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,24.5889892578125,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,15.966598510742188,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,16.269018173217773,1,6,9,0.1,1.0779341156866284e-05,1.3066991237907006e-06,256
11,16.534399032592773,0,3,11,0.35,0.0005490065222391831,1.0024815241203081e-05,128
12,17.143104553222656,0,4,17,0.2,0.00032080388994744987,1.153655220919117e-05,128
13,19.883703231811523,2,5,13,0.35,8.883116653692035e-05,3.0489914090667483e-05,256
14,19.608051300048828,0,5,10,0.15000000000000002,1.1248613366724763e-05,2.323623792242876e-06,128
15,15.576841354370117,1,4,15,0.4,0.0001607246211327509,4.725326360606261e-06,256
16,17.268815994262695,2,2,16,0.4,0.00015107653087335611,4.571659672503907e-06,256
17,15.567276954650879,1,6,15,0.25,5.9106346065127834e-05,1.0332855569626115e-06,256
18,19.211217880249023,1,5,5,0.25,6.551496138863402e-05,1.2068605164306055e-06,256
19,16.032947540283203,2,4,7,0.30000000000000004,0.00014995849787487062,1.1586159092878116e-06,256
20,16.369653701782227,1,2,17,0.4,5.675340745421165e-05,6.790521579654887e-06,256
21,16.743791580200195,1,6,15,0.2,1.9872502096140366e-05,2.791678333421022e-06,256
22,18.21640968322754,2,6,11,0.15000000000000002,2.17794280786051e-05,4.5512343115300395e-06,256
23,16.804595947265625,1,5,15,0.2,5.174210171881394e-05,1.8965756112213711e-06,256
24,19.795215606689453,0,6,12,0.30000000000000004,0.00011425719086674015,1.9495019626560355e-05,1024
25,15.595074653625488,0,5,15,0.15000000000000002,2.9255658922065237e-05,4.543551994948471e-06,256
26,15.561236381530762,1,4,8,0.4,0.00025970713665747616,1.620249794957571e-05,256
27,16.031326293945312,2,3,7,0.4,0.00023775122147563925,2.1740565130053595e-05,256
28,14.983920097351074,1,2,8,0.45000000000000007,0.0005092985886919266,8.44895252845809e-05,256
29,15.630104064941406,2,2,7,0.45000000000000007,0.0005818278773838826,6.528017106759959e-05,256
