trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
28,14.983920097351074,1,2,8,0.45000000000000007,0.0005092985886919266,8.44895252845809e-05,256
26,15.561236381530762,1,4,8,0.4,0.00025970713665747616,1.620249794957571e-05,256
17,15.567276954650879,1,6,15,0.25,5.9106346065127834e-05,1.0332855569626115e-06,256
15,15.576841354370117,1,4,15,0.4,0.0001607246211327509,4.725326360606261e-06,256
25,15.595074653625488,0,5,15,0.15000000000000002,2.9255658922065237e-05,4.543551994948471e-06,256
29,15.630104064941406,2,2,7,0.45000000000000007,0.0005818278773838826,6.528017106759959e-05,256
1,15.891763687133789,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
9,15.966598510742188,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
27,16.031326293945312,2,3,7,0.4,0.00023775122147563925,2.1740565130053595e-05,256
19,16.032947540283203,2,4,7,0.30000000000000004,0.00014995849787487062,1.1586159092878116e-06,256
