trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,20.808853149414062,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,21.34804344177246,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,21.555431365966797,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,21.16421890258789,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,22.59648895263672,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,21.105026245117188,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,21.637752532958984,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,21.379806518554688,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,21.359495162963867,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,21.105318069458008,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,22.502647399902344,1,6,10,0.35,1.0733354530413289e-05,1.3066991237907006e-06,256
11,20.912212371826172,2,5,17,0.4,0.00013093310334961412,0.0007218056558077396,1024
12,20.880491256713867,2,5,17,0.4,8.119656189542917e-05,8.78780522965513e-06,1024
13,22.20267677307129,2,6,11,0.30000000000000004,1.1672711987380448e-05,7.340164373513932e-06,256
14,20.6875,1,3,17,0.4,7.015255978144804e-05,1.2502504345947947e-06,256
15,21.99439239501953,1,3,7,0.25,2.0478407069582445e-05,1.236271490178738e-06,256
16,20.858434677124023,1,3,12,0.4,4.910823387037157e-05,2.7662829820544413e-06,256
17,20.795860290527344,1,2,15,0.30000000000000004,6.466587265034717e-05,2.5766306112013357e-06,256
18,20.734580993652344,0,2,15,0.2,5.971371162797957e-05,2.05733432853607e-05,256
19,20.106826782226562,0,2,9,0.15000000000000002,0.00023952389782365286,2.033759060329644e-05,256
20,20.30870246887207,0,2,7,0.1,0.0005184552294033335,6.795469748288881e-05,128
21,20.41874122619629,0,2,8,0.1,0.0005890629751467351,7.557699153417708e-05,128
22,20.407197952270508,0,2,8,0.1,0.0007456619992883506,6.878458317347316e-05,128
23,20.768939971923828,0,2,6,0.15000000000000002,0.00042850725031725126,1.7939170770910903e-05,128
24,19.985498428344727,0,0,3,0.15000000000000002,0.0009438148742376735,5.6767553310113155e-05,128
25,21.080106735229492,0,0,3,0.15000000000000002,0.00025326213138270796,4.7068223944132976e-05,128
26,20.71048355102539,0,0,3,0.2,0.0005179733999780491,1.8042341153298168e-05,128
27,20.889232635498047,1,1,10,0.2,0.0009222286192326917,0.00011534919324975407,128
28,20.55533790588379,0,1,3,0.15000000000000002,0.00020954346675687598,2.8334597014110586e-05,128
29,20.59439468383789,1,0,9,0.1,0.00032813219353419764,5.1087215271498165e-05,128
