trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,15.817734718322754,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,14.595905303955078,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,18.596982955932617,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,19.162965774536133,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,24.795469284057617,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,18.00791358947754,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,32.41914367675781,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,14.33428955078125,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,22.133899688720703,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,13.632150650024414,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,13.658161163330078,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,15.041620254516602,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,15.67574691772461,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
13,13.37249755859375,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
14,13.091198921203613,2,2,7,0.25,0.0003345732033154578,1.7371058720793197e-06,128
15,12.708681106567383,2,2,6,0.2,0.00016562227489399668,1.3119517299594344e-06,128
16,13.377656936645508,2,2,5,0.2,0.00012669020956582308,1.0190537978402579e-06,128
17,13.043976783752441,2,0,7,0.2,7.16079258424746e-05,2.6192608179156127e-06,128
18,21.154996871948242,3,0,3,0.15000000000000002,1.0172751384309061e-05,4.731296115247923e-06,256
19,17.78460121154785,2,0,7,0.1,6.282592696415864e-05,4.908191383711315e-06,1024
20,12.520095825195312,3,1,3,0.2,0.00016415659873264478,1.842490966138479e-06,128
21,12.581134796142578,3,1,3,0.2,0.0001581512286521426,2.227090023344593e-06,128
22,13.988306999206543,3,1,3,0.2,0.00018687036414008704,7.758477995262333e-06,128
23,13.436051368713379,4,2,3,0.15000000000000002,0.00011444192742866492,2.003017429620756e-06,128
24,12.986530303955078,3,1,2,0.2,0.00020073591156209448,1.361012732851961e-06,128
25,14.433806419372559,4,2,4,0.30000000000000004,9.894647822113966e-05,1.9656474757525268e-06,128
26,13.42309856414795,3,1,6,0.25,0.0005312443860865522,6.992934972302679e-06,128
27,17.204946517944336,2,3,2,0.15000000000000002,0.0002088014361117798,3.948276143990522e-06,1024
28,14.26479721069336,3,2,4,0.1,0.00013558013656389924,1.7248776148881535e-05,256
29,13.36156940460205,2,0,9,0.2,5.387789498935672e-05,2.7950050546351606e-06,256
