trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
20,12.520095825195312,3,1,3,0.2,0.00016415659873264478,1.842490966138479e-06,128
21,12.581134796142578,3,1,3,0.2,0.0001581512286521426,2.227090023344593e-06,128
15,12.708681106567383,2,2,6,0.2,0.00016562227489399668,1.3119517299594344e-06,128
24,12.986530303955078,3,1,2,0.2,0.00020073591156209448,1.361012732851961e-06,128
17,13.043976783752441,2,0,7,0.2,7.16079258424746e-05,2.6192608179156127e-06,128
14,13.091198921203613,2,2,7,0.25,0.0003345732033154578,1.7371058720793197e-06,128
29,13.36156940460205,2,0,9,0.2,5.387789498935672e-05,2.7950050546351606e-06,256
13,13.37249755859375,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
16,13.377656936645508,2,2,5,0.2,0.00012669020956582308,1.0190537978402579e-06,128
26,13.42309856414795,3,1,6,0.25,0.0005312443860865522,6.992934972302679e-06,128
