trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,14.423062324523926,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,15.188600540161133,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,16.708147048950195,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,21.030548095703125,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,24.596431732177734,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,16.5545597076416,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,31.31671905517578,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,11.919425964355469,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,18.35888671875,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,12.579713821411133,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,12.221938133239746,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
11,14.376914024353027,2,2,9,0.4,0.00029874483731193185,1.5884701145417315e-05,128
12,13.099863052368164,2,2,8,0.4,0.0006818535585355526,1.1419607121942154e-06,128
13,14.168185234069824,3,0,4,0.4,0.00016958825460636207,5.686133603133676e-05,128
14,13.326216697692871,2,2,9,0.45000000000000007,0.0004023779237289108,0.0009619959385515669,128
15,12.24383544921875,3,1,2,0.30000000000000004,7.983431119252654e-05,0.00012173948374327236,128
16,15.072502136230469,1,3,11,0.45000000000000007,0.00021063979781445145,1.4573798088365193e-05,128
17,13.328197479248047,2,1,7,0.30000000000000004,0.0005138916569961694,6.0311002358163516e-06,128
18,21.823612213134766,4,2,3,0.45000000000000007,1.2296437788849054e-05,0.00027035429686573934,256
19,21.681398391723633,3,0,11,0.35,0.00011982448134112166,2.033759060329644e-05,1024
20,13.341717720031738,1,4,17,0.2,0.000234641593706155,0.00010035842384952033,128
21,13.357365608215332,3,1,1,0.30000000000000004,6.42900218497509e-05,0.0001258720900235946,128
22,12.563962936401367,2,1,2,0.25,0.00011679507720849103,0.00014883601572909016,128
23,13.695631980895996,3,2,0,0.4,6.241676603586983e-05,6.219135978207601e-05,128
24,12.830527305603027,4,0,6,0.35,0.0005601486345957133,0.00048305159456202664,128
25,11.737698554992676,3,3,3,0.45000000000000007,0.0002681934807652157,6.172975807575198e-05,128
26,13.114212989807129,2,3,3,0.45000000000000007,0.00023701912979285337,2.6792098259546702e-05,128
27,19.517656326293945,3,3,4,0.45000000000000007,0.0009338466427073816,7.706054799259783e-05,1024
28,13.414328575134277,2,3,6,0.5,0.0003819116088328917,8.984658782166684e-06,256
29,14.911722183227539,1,5,11,0.35,0.0001717878109988655,1.920013430178583e-06,256
