trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
25,11.737698554992676,3,3,3,0.45000000000000007,0.0002681934807652157,6.172975807575198e-05,128
7,11.919425964355469,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
10,12.221938133239746,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
15,12.24383544921875,3,1,2,0.30000000000000004,7.983431119252654e-05,0.00012173948374327236,128
22,12.563962936401367,2,1,2,0.25,0.00011679507720849103,0.00014883601572909016,128
9,12.579713821411133,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
24,12.830527305603027,4,0,6,0.35,0.0005601486345957133,0.00048305159456202664,128
12,13.099863052368164,2,2,8,0.4,0.0006818535585355526,1.1419607121942154e-06,128
26,13.114212989807129,2,3,3,0.45000000000000007,0.00023701912979285337,2.6792098259546702e-05,128
14,13.326216697692871,2,2,9,0.45000000000000007,0.0004023779237289108,0.0009619959385515669,128
