trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,17.945392608642578,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,16.636699676513672,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,20.062744140625,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,21.62503433227539,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,25.905527114868164,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,21.556894302368164,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,20.56209945678711,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,14.980559349060059,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,17.605833053588867,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,14.97083568572998,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,15.55792236328125,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,14.744244575500488,2,2,9,0.4,0.0003124556445157575,6.684688921025685e-05,128
12,15.52220630645752,2,4,10,0.4,0.00032745173950274103,3.584903725849027e-05,128
13,15.05257797241211,2,2,8,0.30000000000000004,0.00037337367274576836,1.456247789644833e-05,128
14,15.149084091186523,0,4,17,0.4,0.0001170143071458581,6.83729130344743e-05,128
15,15.259736061096191,1,2,7,0.25,0.0001890353347844809,0.0009776958006362257,128
16,15.445133209228516,2,3,12,0.4,0.0004973541716877471,1.1584652958075161e-06,128
17,15.723139762878418,0,5,11,0.30000000000000004,7.376904876671429e-05,2.2007787206837633e-05,128
18,15.494139671325684,3,2,6,0.35,0.0009419854188198915,6.986228381681101e-06,256
19,19.86209487915039,1,0,3,0.2,0.00021772384499254806,7.59909867755055e-05,1024
20,15.401491165161133,2,5,15,0.45000000000000007,0.00047831827965734517,2.89104089250077e-05,128
21,14.969508171081543,3,1,9,0.45000000000000007,0.00023066090533406536,0.00017476197170758175,128
22,14.880610466003418,4,2,9,0.45000000000000007,0.000304616704423709,0.0003642635952276562,128
23,15.813851356506348,4,1,9,0.45000000000000007,0.00012552378145217765,0.00040417889264953707,128
24,14.791438102722168,4,2,8,0.45000000000000007,0.00025763973584873946,0.00012614310001723405,128
25,14.777843475341797,4,2,7,0.4,0.0006506481039520344,0.00012353178556732993,128
26,15.336908340454102,4,2,4,0.4,0.0005984800212437122,0.00011800678310354733,128
27,25.05252456665039,3,3,7,0.4,0.0007494340050910581,7.28026770410632e-05,1024
28,15.56661319732666,4,2,7,0.5,0.0004346030373238472,5.001565362694362e-05,256
29,19.23382568359375,2,3,3,0.35,1.1975706288006917e-05,0.00016235639597261055,256
