trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,26.702129364013672,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,26.262842178344727,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,26.404705047607422,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,26.122800827026367,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,26.82472038269043,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,26.214014053344727,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,26.446353912353516,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,26.052034378051758,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,26.267873764038086,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,26.17445945739746,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,26.14337921142578,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
11,26.07830810546875,3,0,0,0.45000000000000007,0.0007791470666172773,0.0006298706844618289,128
12,26.18132781982422,3,0,2,0.4,0.0008376803376638096,0.0007950426036607218,128
13,26.183013916015625,2,1,4,0.45000000000000007,0.0003446511659889723,0.0001587056008694229,128
14,26.22483253479004,3,2,9,0.4,0.0005667148272826642,0.0009619959385515669,128
15,26.309589385986328,4,0,3,0.30000000000000004,0.00016322498148447926,7.247531814006219e-05,128
16,26.098922729492188,2,2,8,0.45000000000000007,0.00010344706156439285,0.00035490948263942684,128
17,26.273433685302734,3,1,1,0.45000000000000007,0.0005138916569961694,1.0332855569626115e-06,128
18,26.168312072753906,1,0,0,0.30000000000000004,0.0002062009247601099,0.00011247847370786773,256
19,26.42162322998047,2,3,6,0.35,7.975998534910203e-05,0.00048036550914160525,1024
20,26.068397521972656,4,2,10,0.2,0.0005443567305591153,4.102476316826359e-05,128
21,26.10088348388672,4,2,10,0.2,0.0005447084576882245,4.71596940192505e-05,128
22,26.216161727905273,4,1,10,0.2,0.0009967361904795688,0.00019875318707781198,128
23,26.127002716064453,3,2,7,0.1,0.0002646539433346179,1.6323920266518005e-05,128
24,26.234464645385742,4,0,3,0.2,0.0004807823951397633,5.727810329085761e-05,128
25,26.403270721435547,3,3,11,0.25,0.0007144768028371478,0.00012132084052912117,128
26,26.157241821289062,4,1,3,0.15000000000000002,0.00042348196064569306,2.1981181103039576e-05,128
27,26.819721221923828,3,1,11,0.45000000000000007,0.0002299120915007225,0.000374700920904358,1024
28,26.029977798461914,2,4,17,0.4,0.00013558013656389924,8.44895252845809e-05,256
29,26.669708251953125,1,4,17,0.35,1.1975706288006917e-05,8.77185021411426e-06,256
