trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
13,18.13418960571289,2,5,13,0.35,8.883116653692035e-05,3.0489914090667483e-05,256
25,18.1770076751709,1,4,16,0.4,0.0002312288736732947,4.524025707180294e-05,256
14,18.239839553833008,2,4,7,0.4,9.858102425593379e-05,3.5536537392482436e-05,256
9,18.248445510864258,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
28,18.267963409423828,1,5,15,0.30000000000000004,0.00024553492799696605,0.0003174463932629313,256
27,18.310619354248047,2,3,17,0.45000000000000007,6.12010520680383e-05,5.7685061715615875e-05,256
1,18.360990524291992,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
24,18.399320602416992,3,5,12,0.25,9.527431117572867e-05,2.5284707877620443e-05,256
22,18.433589935302734,2,4,9,0.35,0.00020068339057188376,7.877265582169004e-05,128
10,18.45629119873047,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
