trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,17.82411766052246,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,17.900588989257812,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,18.534894943237305,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,18.223752975463867,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,21.452856063842773,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,17.695524215698242,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,18.454805374145508,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,18.09337043762207,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,18.428483963012695,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,17.77967643737793,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,17.92526626586914,4,4,17,0.4,0.0001739181495259443,0.0005284384205738847,1024
11,17.512310028076172,2,4,10,0.35,0.0005490065222391831,1.605856376823875e-05,128
12,17.96017074584961,2,5,10,0.4,0.0007869660773432026,1.4547307271298103e-05,1024
13,17.77001953125,2,3,9,0.25,0.00010648591656062774,0.0009461899037560759,128
14,17.666505813598633,1,5,17,0.45000000000000007,0.0004261548525190917,4.853626242517373e-05,128
15,17.880054473876953,1,3,6,0.35,0.00046261178161274955,4.9769705159464157e-05,128
16,17.679786682128906,2,5,11,0.4,0.0005000866370641727,1.081616549979152e-06,128
17,17.87204933166504,1,2,7,0.30000000000000004,0.00025271402476448253,1.3544899564154773e-05,128
18,18.197607040405273,1,5,3,0.45000000000000007,1.1052144859870729e-05,6.986228381681101e-06,128
19,17.728906631469727,2,4,11,0.30000000000000004,0.0005237312344247827,2.6447121484759382e-05,128
20,17.96847915649414,3,6,16,0.2,0.0008639404927242998,6.750371279884922e-05,256
21,17.753875732421875,2,5,11,0.4,0.0005231127262563133,1.0883479244730709e-06,128
22,17.965089797973633,2,5,9,0.45000000000000007,0.0003259991732327441,1.3158979614250846e-06,128
23,17.796316146850586,2,4,12,0.4,0.0006211534957790785,2.608013398898723e-06,128
24,17.774873733520508,1,6,8,0.35,0.00017169404865459504,5.593533759639919e-06,128
25,17.761661529541016,3,5,15,0.45000000000000007,0.0003275186605255164,2.0252328820292824e-05,128
26,17.671396255493164,1,2,11,0.4,9.652329581174986e-05,8.791565474097827e-05,128
27,18.14266014099121,0,2,8,0.30000000000000004,6.748131129379845e-05,0.00010585756711280417,128
28,17.91385269165039,1,2,17,0.45000000000000007,0.0001181833992922759,6.192841581796594e-05,256
29,18.098024368286133,1,3,13,0.35,5.6525769205675546e-05,1.8569707329666455e-05,256
