trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
11,17.512310028076172,2,4,10,0.35,0.0005490065222391831,1.605856376823875e-05,128
14,17.666505813598633,1,5,17,0.45000000000000007,0.0004261548525190917,4.853626242517373e-05,128
26,17.671396255493164,1,2,11,0.4,9.652329581174986e-05,8.791565474097827e-05,128
16,17.679786682128906,2,5,11,0.4,0.0005000866370641727,1.081616549979152e-06,128
5,17.695524215698242,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
19,17.728906631469727,2,4,11,0.30000000000000004,0.0005237312344247827,2.6447121484759382e-05,128
21,17.753875732421875,2,5,11,0.4,0.0005231127262563133,1.0883479244730709e-06,128
25,17.761661529541016,3,5,15,0.45000000000000007,0.0003275186605255164,2.0252328820292824e-05,128
13,17.77001953125,2,3,9,0.25,0.00010648591656062774,0.0009461899037560759,128
24,17.774873733520508,1,6,8,0.35,0.00017169404865459504,5.593533759639919e-06,128
