trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,15.461098670959473,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,14.767167091369629,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,15.022584915161133,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,14.557089805603027,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,16.422470092773438,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,14.85558795928955,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,17.535303115844727,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,14.831923484802246,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,15.157599449157715,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,14.295075416564941,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,14.549052238464355,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,14.648075103759766,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,14.628510475158691,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
13,14.185786247253418,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
14,14.135001182556152,2,2,7,0.25,0.0003345732033154578,1.7371058720793197e-06,128
15,14.389324188232422,2,2,6,0.2,0.00016562227489399668,1.3119517299594344e-06,128
16,13.903488159179688,2,2,8,0.25,0.0004894057592170779,1.012731362573195e-06,128
17,14.343059539794922,2,0,3,0.2,0.00010481559453327918,2.4081693307243423e-06,128
18,14.23115348815918,3,2,7,0.25,0.0005505508047374373,6.050881177536047e-06,256
19,14.564101219177246,2,1,3,0.15000000000000002,0.00020192537787630475,1.1571123790582392e-06,1024
20,14.248754501342773,3,2,9,0.2,0.0004684687204189574,7.09975798695212e-06,128
21,14.06545352935791,2,2,8,0.30000000000000004,0.0003935461796991314,1.0548726861697101e-06,128
22,14.138596534729004,2,3,8,0.30000000000000004,0.0009945440728942332,2.0944282669161687e-06,128
23,14.47263240814209,1,2,11,0.25,0.00010597535046624783,4.533463324999068e-06,128
24,14.274624824523926,2,1,6,0.30000000000000004,0.0004807823951397633,1.8747045684359427e-06,128
25,14.754554748535156,2,2,4,0.4,0.0002498167669231735,1.6586217693262254e-06,128
26,14.972810745239258,3,0,12,0.15000000000000002,1.384478540948663e-05,3.921261940808254e-06,128
27,15.679938316345215,1,3,7,0.2,6.689711162089583e-05,1.0300399639224658e-06,1024
28,14.319533348083496,2,2,9,0.25,0.00013558013656389924,2.375272461796882e-06,256
29,14.455961227416992,1,1,17,0.4,0.0006077754344213176,1.1319724592792208e-05,256
