trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,11.053330421447754,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,9.779571533203125,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,10.36731243133545,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,9.740148544311523,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,10.604464530944824,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,12.037862777709961,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,10.475483894348145,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,9.741687774658203,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,10.35035514831543,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,9.800498962402344,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,9.529401779174805,2,2,8,0.4,0.0009285225829404774,0.0005284384205738847,512
11,9.568279266357422,2,2,9,0.4,0.0008646067394149887,0.0007937083413779175,512
12,9.59453010559082,2,2,9,0.4,0.000803055007189743,0.0008139154462253955,512
13,9.555291175842285,2,3,9,0.4,0.0005310581570224821,0.0009459416000617398,512
14,9.7030611038208,1,3,7,0.30000000000000004,0.0004044872162956323,0.000368305930924302,512
15,9.89593505859375,2,3,11,0.4,0.0004684898238555541,6.865245761928042e-05,512
16,9.913436889648438,2,2,4,0.30000000000000004,0.00015107653087335611,2.28499615672711e-05,128
17,9.521949768066406,3,4,7,0.45000000000000007,0.0005715443368648531,1.0332855569626115e-06,256
18,10.472199440002441,3,4,3,0.45000000000000007,1.0580663649020302e-05,1.2068605164306055e-06,256
19,9.702028274536133,4,5,7,0.45000000000000007,0.00022407881811176044,1.2293209211441539e-05,256
20,10.22033977508545,3,5,11,0.35,8.043318504849497e-05,1.0318186415204363e-06,256
21,9.933473587036133,1,2,7,0.4,0.0005568133604123388,0.00045145919565491076,1024
22,9.736252784729004,2,3,10,0.45000000000000007,0.0005987530129210669,0.00013344435554077716,256
23,9.80708122253418,3,4,7,0.35,0.00030010843916112174,2.8780448671170435e-06,512
24,9.669612884521484,2,0,8,0.25,0.0006002661708018593,0.0009602033256011427,512
25,10.09904670715332,1,2,11,0.45000000000000007,0.00019457612991743902,1.0598653518783059e-05,256
26,9.503273963928223,2,3,5,0.4,0.0008724882959588342,5.793819917077199e-05,128
27,9.649542808532715,3,4,3,0.5,0.0009853455846753011,6.956941494223336e-05,128
28,9.578998565673828,2,3,5,0.30000000000000004,0.0007003044147205509,1.7248776148881535e-05,128
29,9.694547653198242,1,6,3,0.35,0.00011595328385020642,5.878751872380625e-06,128
