trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
26,9.503273963928223,2,3,5,0.4,0.0008724882959588342,5.793819917077199e-05,128
17,9.521949768066406,3,4,7,0.45000000000000007,0.0005715443368648531,1.0332855569626115e-06,256
10,9.529401779174805,2,2,8,0.4,0.0009285225829404774,0.0005284384205738847,512
13,9.555291175842285,2,3,9,0.4,0.0005310581570224821,0.0009459416000617398,512
11,9.568279266357422,2,2,9,0.4,0.0008646067394149887,0.0007937083413779175,512
28,9.578998565673828,2,3,5,0.30000000000000004,0.0007003044147205509,1.7248776148881535e-05,128
12,9.59453010559082,2,2,9,0.4,0.000803055007189743,0.0008139154462253955,512
27,9.649542808532715,3,4,3,0.5,0.0009853455846753011,6.956941494223336e-05,128
24,9.669612884521484,2,0,8,0.25,0.0006002661708018593,0.0009602033256011427,512
29,9.694547653198242,1,6,3,0.35,0.00011595328385020642,5.878751872380625e-06,128
