trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
12,14.554207801818848,1,3,9,0.4,0.0008346639415819694,1.2088179189460858e-05,128
11,14.61552619934082,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
20,14.654685020446777,2,2,17,0.45000000000000007,0.00012622311438484165,7.099837209242447e-05,128
22,14.68831729888916,2,3,17,0.45000000000000007,0.000996945185884218,2.7594587039723585e-05,128
10,14.71212387084961,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
9,14.716408729553223,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
28,14.722163200378418,2,2,3,0.45000000000000007,0.0007188491858717692,0.0001202596595076411,256
15,14.750737190246582,1,4,11,0.4,0.00017040162870241178,5.235586185127962e-05,128
26,14.753057479858398,1,3,6,0.4,0.0004607761846263019,2.1671243563890022e-06,128
13,14.75757884979248,2,3,9,0.4,0.0009740646200040044,1.1113129638550507e-06,128
