trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,20.956876754760742,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,18.21614646911621,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,19.26387596130371,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,18.592269897460938,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,22.83018684387207,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,22.688955307006836,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,19.873056411743164,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,18.975317001342773,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,19.77338218688965,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,18.428775787353516,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,18.691146850585938,1,6,9,0.1,1.0779341156866284e-05,1.3066991237907006e-06,256
11,18.200517654418945,0,3,11,0.35,0.0005490065222391831,1.0024815241203081e-05,128
12,18.480093002319336,0,3,10,0.2,0.0007494133423147261,8.371212930650227e-06,128
13,18.486988067626953,2,3,11,0.35,8.883116653692035e-05,6.718054474893867e-06,256
14,18.365943908691406,0,2,17,0.15000000000000002,0.0004043731336743001,1.2826514547764839e-06,256
15,19.076353073120117,1,5,7,0.4,1.2150545081512425e-05,2.1698417243937444e-05,128
16,18.281410217285156,2,4,15,0.25,0.00015107653087335611,3.451534474770544e-06,128
17,18.235965728759766,0,5,12,0.30000000000000004,5.9106346065127834e-05,1.2866010930913003e-05,256
18,21.69363784790039,1,6,7,0.2,1.8839064510378583e-05,2.9366360253778526e-06,1024
19,18.45354652404785,2,2,11,0.4,0.00015476743326056872,5.213597841014798e-06,256
20,18.345731735229492,0,2,15,0.15000000000000002,0.0005224222343575224,1.97998600968629e-05,128
21,19.227313995361328,0,5,12,0.30000000000000004,5.3038794798879905e-05,1.3752501042526187e-05,256
22,19.405067443847656,0,5,12,0.30000000000000004,2.17794280786051e-05,4.901141309805593e-05,256
23,18.84138298034668,1,6,9,0.4,6.241676603586983e-05,1.2514040235535665e-05,256
24,18.349088668823242,0,4,14,0.30000000000000004,2.692379326686574e-05,4.6233108075461425e-06,256
25,18.421987533569336,1,5,17,0.2,0.00023105597866199693,1.8360802212250209e-06,256
26,18.071914672851562,0,3,7,0.35,5.377047924700229e-05,2.1671243563890022e-06,128
27,18.96866798400879,1,3,7,0.45000000000000007,0.00012982990886395632,1.7035171438559402e-06,128
28,20.027101516723633,2,2,4,0.35,1.6258979088613213e-05,2.567062486495059e-06,128
29,18.415170669555664,0,3,3,0.4,4.6354989239881935e-05,4.398313008724683e-06,128
