trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
26,18.071914672851562,0,3,7,0.35,5.377047924700229e-05,2.1671243563890022e-06,128
11,18.200517654418945,0,3,11,0.35,0.0005490065222391831,1.0024815241203081e-05,128
1,18.21614646911621,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
17,18.235965728759766,0,5,12,0.30000000000000004,5.9106346065127834e-05,1.2866010930913003e-05,256
16,18.281410217285156,2,4,15,0.25,0.00015107653087335611,3.451534474770544e-06,128
20,18.345731735229492,0,2,15,0.15000000000000002,0.0005224222343575224,1.97998600968629e-05,128
24,18.349088668823242,0,4,14,0.30000000000000004,2.692379326686574e-05,4.6233108075461425e-06,256
14,18.365943908691406,0,2,17,0.15000000000000002,0.0004043731336743001,1.2826514547764839e-06,256
29,18.415170669555664,0,3,3,0.4,4.6354989239881935e-05,4.398313008724683e-06,128
25,18.421987533569336,1,5,17,0.2,0.00023105597866199693,1.8360802212250209e-06,256
