trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,19.096343994140625,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,18.825220108032227,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,19.649471282958984,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,19.1405086517334,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,20.791297912597656,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,18.83544158935547,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,20.166173934936523,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,19.571918487548828,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,19.554248809814453,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,18.775903701782227,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,18.919198989868164,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,19.872173309326172,0,6,11,0.15000000000000002,1.0453436254523374e-05,1.1931369372076824e-06,256
12,18.7847957611084,0,4,17,0.2,0.00032080388994744987,5.471670626414296e-06,128
13,18.940914154052734,2,4,17,0.30000000000000004,0.00036265601112071117,2.7788523952369266e-05,128
14,18.85762596130371,0,4,17,0.4,0.00034662071763334474,6.713230949042992e-06,128
15,18.917245864868164,1,2,7,0.25,0.00016100381180480117,4.107223248537411e-05,128
16,18.990678787231445,2,5,12,0.15000000000000002,0.000555084853206397,1.0454655127214781e-06,128
17,18.924108505249023,0,5,15,0.2,0.00011526417598172629,2.31571709521325e-05,128
18,18.942272186279297,1,2,9,0.35,0.00022157996624373432,7.244544654543564e-05,128
19,23.457372665405273,2,4,12,0.30000000000000004,7.091372810577044e-05,4.837283496375508e-06,1024
20,19.006210327148438,0,3,15,0.4,0.00047831827965734517,1.1752003418812842e-05,128
21,18.549942016601562,0,6,14,0.1,0.0009639328305561718,2.791678333421022e-06,256
22,19.119606018066406,0,5,17,0.1,0.0009912477755824203,2.0940216799228654e-06,256
23,18.838083267211914,1,5,15,0.2,0.0007026909400725356,1.9717540602899933e-06,256
24,18.88174057006836,0,4,13,0.2,0.000380931543755063,5.901654175476977e-06,256
25,19.289518356323242,1,2,8,0.1,0.00023919933244955356,1.9126483944921273e-05,128
26,19.157917022705078,0,3,11,0.15000000000000002,0.00046042848319265454,1.8808849669369353e-06,256
27,18.747835159301758,1,6,16,0.2,0.0007942999109911757,9.90633216694176e-06,1024
28,18.881649017333984,2,6,13,0.25,0.0007852986744972558,8.183764867902375e-06,1024
29,18.805025100708008,1,6,14,0.4,0.0006068425970514221,3.378359934936927e-06,1024
