trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,12.06437873840332,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,11.967631340026855,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,11.774701118469238,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,11.623852729797363,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,12.155665397644043,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,13.016197204589844,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,11.559986114501953,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,11.35481071472168,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,11.63129711151123,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,11.663293838500977,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,11.99902629852295,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
11,11.686047554016113,2,0,9,0.25,1.0685511479544176e-05,6.952173483577785e-05,1024
12,11.43412971496582,2,2,10,0.2,8.134510764898279e-05,6.107740931763173e-05,1024
13,11.93058967590332,3,2,10,0.15000000000000002,0.000116192914069299,0.0009167928239443315,128
14,11.423337936401367,2,2,4,0.4,0.0002748492912025073,0.00014697172124222263,128
15,11.503682136535645,3,1,3,0.4,0.0006099742138158436,0.0001886904471949562,128
16,11.750300407409668,1,3,3,0.45000000000000007,0.00024068573680316452,0.00014479271648081565,128
17,11.598636627197266,4,1,2,0.4,0.0004855507835713043,1.0332855569626115e-06,128
18,11.582585334777832,3,2,5,0.35,0.00017858287117101284,0.00046124114045901647,128
19,11.72150993347168,2,0,7,0.45000000000000007,0.0003799896404582642,2.033759060329644e-05,128
20,11.520919799804688,1,4,0,0.45000000000000007,0.0008131031963215235,0.00034941902519202664,256
21,11.190093994140625,2,2,7,0.30000000000000004,6.42900218497509e-05,6.865736127656895e-05,1024
22,11.305097579956055,2,3,6,0.30000000000000004,6.39294195951083e-05,0.00012273067651952151,1024
23,11.625907897949219,3,3,7,0.30000000000000004,5.555946846895124e-05,9.027892070194214e-05,1024
24,11.24294376373291,2,3,7,0.30000000000000004,5.780026443617133e-05,3.7336861757628753e-05,1024
25,11.762740135192871,2,3,7,0.30000000000000004,6.140843863909516e-05,2.971195828245904e-05,1024
26,11.321575164794922,1,4,11,0.30000000000000004,0.00011011005790772592,8.007588939892217e-06,1024
27,11.29967975616455,2,5,6,0.2,5.089880887261234e-05,4.808854683920245e-05,1024
28,11.547374725341797,2,6,9,0.2,2.5455092506626517e-05,4.8322213791075754e-05,1024
29,13.053506851196289,1,5,11,0.2,1.1975706288006917e-05,1.8902581068566466e-05,1024
