trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
21,11.190093994140625,2,2,7,0.30000000000000004,6.42900218497509e-05,6.865736127656895e-05,1024
24,11.24294376373291,2,3,7,0.30000000000000004,5.780026443617133e-05,3.7336861757628753e-05,1024
27,11.29967975616455,2,5,6,0.2,5.089880887261234e-05,4.808854683920245e-05,1024
22,11.305097579956055,2,3,6,0.30000000000000004,6.39294195951083e-05,0.00012273067651952151,1024
26,11.321575164794922,1,4,11,0.30000000000000004,0.00011011005790772592,8.007588939892217e-06,1024
7,11.35481071472168,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
14,11.423337936401367,2,2,4,0.4,0.0002748492912025073,0.00014697172124222263,128
12,11.43412971496582,2,2,10,0.2,8.134510764898279e-05,6.107740931763173e-05,1024
15,11.503682136535645,3,1,3,0.4,0.0006099742138158436,0.0001886904471949562,128
20,11.520919799804688,1,4,0,0.45000000000000007,0.0008131031963215235,0.00034941902519202664,256
