trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,28.230382919311523,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,28.074914932250977,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,28.17889976501465,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,27.92268943786621,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,28.664342880249023,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,27.882720947265625,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,28.174501419067383,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,27.932785034179688,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,28.073667526245117,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,27.918458938598633,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,27.953718185424805,4,4,17,0.4,0.0001739181495259443,0.0005284384205738847,1024
11,27.953683853149414,2,4,10,0.35,0.0005490065222391831,1.605856376823875e-05,128
12,27.923254013061523,1,5,17,0.4,0.00027392282573777277,4.5297967956856565e-05,1024
13,27.979291915893555,2,3,11,0.25,0.00011083330823128673,0.0009461899037560759,128
14,27.828826904296875,0,5,15,0.45000000000000007,0.0004261548525190917,1.1468235069034277e-05,128
15,27.932720184326172,4,5,7,0.45000000000000007,0.0009818247569037453,9.82519629289542e-06,1024
16,27.819963455200195,2,5,16,0.5,9.042628818169853e-05,1.0830896787041759e-06,128
17,28.02113914489746,1,6,11,0.45000000000000007,7.972293564385465e-05,1.0332855569626115e-06,128
18,28.083478927612305,2,2,15,0.4,1.0250556584190634e-05,1.2068605164306055e-06,128
19,27.81067657470703,0,5,8,0.30000000000000004,0.00042781289690485216,3.1720507104744344e-06,128
20,28.008953094482422,2,3,7,0.2,5.675340745421165e-05,2.9671398420934064e-06,128
21,28.0622615814209,0,5,8,0.30000000000000004,0.0004819246844148898,5.5468018267716526e-06,128
22,28.173568725585938,0,5,10,0.45000000000000007,0.0001670859914834128,2.140425800692065e-06,128
23,27.84976577758789,1,6,12,0.30000000000000004,0.0005433410895305789,6.445240646913435e-06,128
24,27.890134811401367,0,4,3,0.5,0.0003339339141056011,1.5866212166135103e-06,256
25,27.89246940612793,1,5,15,0.4,0.00022257843483365768,1.8112021785396694e-05,128
26,28.115217208862305,3,6,5,0.2,0.00011374423045770204,4.96822927611559e-06,128
27,27.93264389038086,0,2,8,0.45000000000000007,0.0007370341587352406,1.7035171438559402e-06,128
28,27.85300636291504,2,4,9,0.35,0.0003921407856003359,9.960082661670367e-06,128
29,28.06247329711914,1,5,12,0.1,5.885089315207348e-05,2.7381451117416065e-06,256
