trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
19,27.81067657470703,0,5,8,0.30000000000000004,0.00042781289690485216,3.1720507104744344e-06,128
16,27.819963455200195,2,5,16,0.5,9.042628818169853e-05,1.0830896787041759e-06,128
14,27.828826904296875,0,5,15,0.45000000000000007,0.0004261548525190917,1.1468235069034277e-05,128
23,27.84976577758789,1,6,12,0.30000000000000004,0.0005433410895305789,6.445240646913435e-06,128
28,27.85300636291504,2,4,9,0.35,0.0003921407856003359,9.960082661670367e-06,128
5,27.882720947265625,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
24,27.890134811401367,0,4,3,0.5,0.0003339339141056011,1.5866212166135103e-06,256
25,27.89246940612793,1,5,15,0.4,0.00022257843483365768,1.8112021785396694e-05,128
9,27.918458938598633,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
3,27.92268943786621,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
