trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
17,11.649924278259277,4,2,11,0.2,6.347428717144878e-05,9.9323382596616e-05,1024
2,11.698670387268066,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
23,11.797286033630371,4,2,11,0.30000000000000004,4.879058326109056e-05,0.00039649861772244385,256
14,11.817580223083496,2,0,10,0.2,1.1248613366724763e-05,0.0009709479489006036,256
28,11.862824440002441,4,3,9,0.4,0.00022694440690815707,5.675325566786427e-05,512
24,11.92570972442627,4,3,17,0.30000000000000004,5.59845482982191e-05,0.00019999972374298437,512
29,11.977961540222168,3,1,14,0.25,8.104379560516683e-05,2.0205972427165555e-05,256
11,12.008914947509766,2,6,9,0.35,1.0406478814115062e-05,1.1860797007882171e-06,256
13,12.022723197937012,3,3,4,0.35,8.883116653692035e-05,2.7544883859755245e-05,256
0,12.067583084106445,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
