trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,17.227275848388672,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,16.38843536376953,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,16.785465240478516,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,16.112831115722656,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,20.23196029663086,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.022912979125977,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,17.091657638549805,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,16.264095306396484,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,16.62082862854004,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,15.70300006866455,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,15.788650512695312,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,16.066572189331055,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,16.457103729248047,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
13,15.625286102294922,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
14,16.291532516479492,2,2,7,0.25,0.0003345732033154578,1.7371058720793197e-06,128
15,16.54005241394043,2,4,17,0.30000000000000004,9.441165836693306e-05,5.976704506604195e-06,128
16,15.33864688873291,2,2,12,0.15000000000000002,0.00015107653087335611,1.031802121334315e-06,128
17,15.890802383422852,2,2,7,0.15000000000000002,0.00015812614253601164,1.0332855569626115e-06,128
18,16.973163604736328,3,2,3,0.2,1.062522767222648e-05,1.2068605164306055e-06,256
19,16.647192001342773,2,0,11,0.1,0.00017904319826816606,2.432571187023782e-06,1024
20,15.89620304107666,3,2,7,0.2,0.0004873049880897969,7.538566014146582e-06,128
21,15.933124542236328,2,5,12,0.30000000000000004,0.0004262987992748396,5.763235913141906e-05,128
22,15.832425117492676,1,4,15,0.4,0.0002206202295904567,4.547929287748213e-06,128
23,17.669645309448242,0,3,12,0.4,6.576610812351347e-05,0.0006690317923715329,128
24,15.711424827575684,2,1,9,0.30000000000000004,0.00013048714727790386,1.9495019626560355e-05,128
25,15.269680976867676,1,5,8,0.2,0.00037878173121711026,1.8360802212250209e-06,128
26,15.294431686401367,1,5,8,0.2,0.0005312443860865522,1.7051833681425256e-06,128
27,16.144794464111328,1,5,5,0.15000000000000002,0.0005515030065945066,1.7994548497228561e-06,1024
28,15.339615821838379,1,6,8,0.2,0.0009604671826328035,2.2088374810854917e-06,256
29,16.180896759033203,1,5,3,0.15000000000000002,0.00024156460697629658,3.3734739725317326e-06,256
