trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,31.010555267333984,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,31.15149688720703,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,30.36202621459961,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,31.14386558532715,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,31.40403938293457,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,31.071430206298828,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,33.81755828857422,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,30.87049102783203,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,30.83479118347168,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,31.373050689697266,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,30.960453033447266,2,0,8,0.25,8.510951692788826e-05,0.0005284384205738847,512
11,31.37819480895996,4,3,5,0.1,7.584001479563486e-05,1.1668447518029596e-05,512
12,33.124755859375,3,3,5,0.15000000000000002,1.1473013490152433e-05,1.1010693963051335e-06,512
13,30.874723434448242,4,4,5,0.2,6.327516421273677e-05,1.2519585388091821e-05,512
14,31.25368881225586,3,2,9,0.1,0.00015192022573669276,4.639548462267545e-05,512
15,30.857683181762695,2,0,3,0.30000000000000004,4.84046585530113e-05,1.2651343911332285e-05,512
16,31.141565322875977,4,4,9,0.2,0.00013579474894068495,4.7639595479142505e-06,128
17,31.140981674194336,3,2,7,0.4,1.695976914160847e-05,9.9323382596616e-05,256
18,35.36710739135742,2,5,3,0.25,0.0002941856699291301,0.00089898227263392,1024
19,31.219472885131836,4,2,11,0.15000000000000002,3.953164664744337e-05,2.033759060329644e-05,512
20,31.332443237304688,3,5,3,0.30000000000000004,0.00010412412824407917,0.0002125155201128143,512
21,30.740671157836914,2,0,3,0.30000000000000004,5.2283374871379734e-05,7.531414758688466e-06,512
22,30.965639114379883,1,0,6,0.35,5.8839933106454094e-05,6.870397390449218e-06,512
23,31.601308822631836,2,1,2,0.2,2.672587367947662e-05,1.644866922668926e-06,512
24,31.440160751342773,2,0,4,0.4,0.00010315806207922611,7.87196634650287e-06,512
25,31.08514404296875,3,2,8,0.30000000000000004,1.3617976615949405e-05,2.0252328820292824e-05,512
26,30.67753791809082,4,0,6,0.25,5.263674780287415e-05,2.267237485676802e-06,256
27,31.27337646484375,1,0,7,0.25,5.6553339590685174e-05,2.3832694866819036e-06,256
28,30.821760177612305,2,1,11,0.2,0.00022694440690815707,1.8215796355428763e-06,256
29,31.537675857543945,3,0,2,0.30000000000000004,2.8044526579872847e-05,4.369224509509182e-06,256
