trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
2,30.36202621459961,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
26,30.67753791809082,4,0,6,0.25,5.263674780287415e-05,2.267237485676802e-06,256
21,30.740671157836914,2,0,3,0.30000000000000004,5.2283374871379734e-05,7.531414758688466e-06,512
28,30.821760177612305,2,1,11,0.2,0.00022694440690815707,1.8215796355428763e-06,256
8,30.83479118347168,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
15,30.857683181762695,2,0,3,0.30000000000000004,4.84046585530113e-05,1.2651343911332285e-05,512
7,30.87049102783203,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
13,30.874723434448242,4,4,5,0.2,6.327516421273677e-05,1.2519585388091821e-05,512
10,30.960453033447266,2,0,8,0.25,8.510951692788826e-05,0.0005284384205738847,512
22,30.965639114379883,1,0,6,0.35,5.8839933106454094e-05,6.870397390449218e-06,512
