trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,12.075410842895508,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,11.030251502990723,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,11.942026138305664,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,10.87216854095459,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,14.416298866271973,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.071456909179688,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,11.730753898620605,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,10.653385162353516,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,11.778181076049805,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,10.79935359954834,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,10.75035285949707,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
11,10.716647148132324,2,2,9,0.4,0.00029874483731193185,1.5884701145417315e-05,128
12,10.420750617980957,2,2,9,0.4,0.0006856763961610065,1.1618773942886267e-06,128
13,10.60069751739502,3,0,9,0.4,0.0009699343595468616,1.0411274583914278e-06,128
14,10.64475154876709,2,0,9,0.30000000000000004,0.0008164476657179214,1.2814043795016716e-06,128
15,10.836090087890625,3,2,6,0.4,0.000574417752566352,1.2159627916829452e-06,128
16,10.906479835510254,1,0,11,0.30000000000000004,0.0004973541716877471,3.997416449467822e-06,128
17,10.944379806518555,2,3,7,0.45000000000000007,0.0001462250452696292,1.0332855569626115e-06,128
18,10.464639663696289,4,1,3,0.2,0.0009779346663480466,6.133629585330068e-06,256
19,10.609332084655762,4,2,3,0.2,7.783735416628512e-05,5.58625929677604e-06,256
20,10.444731712341309,1,1,3,0.2,0.0004932393704692916,3.093383003276443e-06,256
21,10.396860122680664,1,1,3,0.2,0.0005500461653982083,2.1565090882486016e-06,256
22,10.171278953552246,1,1,2,0.1,0.0005352657022162848,2.5550632104987957e-06,256
23,10.662697792053223,1,2,2,0.1,0.0001950568556745759,2.0936729835591547e-06,256
24,10.707887649536133,2,1,5,0.15000000000000002,0.0005601486345957133,1.932134266294516e-06,256
25,10.801362037658691,1,3,11,0.15000000000000002,0.0004154303841715105,2.0824195201113927e-06,256
26,24.451038360595703,0,2,4,0.1,0.0006418121827835867,7.492938026009085e-06,1024
27,11.870756149291992,2,4,7,0.25,1.3003789157477246e-05,2.418411878565584e-05,256
28,10.855341911315918,1,1,11,0.15000000000000002,0.00024476452800379364,1.8215796355428763e-06,256
29,10.777862548828125,1,0,1,0.35,0.00011595328385020642,5.1087215271498165e-05,256
