trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
22,10.171278953552246,1,1,2,0.1,0.0005352657022162848,2.5550632104987957e-06,256
21,10.396860122680664,1,1,3,0.2,0.0005500461653982083,2.1565090882486016e-06,256
12,10.420750617980957,2,2,9,0.4,0.0006856763961610065,1.1618773942886267e-06,128
20,10.444731712341309,1,1,3,0.2,0.0004932393704692916,3.093383003276443e-06,256
18,10.464639663696289,4,1,3,0.2,0.0009779346663480466,6.133629585330068e-06,256
13,10.60069751739502,3,0,9,0.4,0.0009699343595468616,1.0411274583914278e-06,128
19,10.609332084655762,4,2,3,0.2,7.783735416628512e-05,5.58625929677604e-06,256
14,10.64475154876709,2,0,9,0.30000000000000004,0.0008164476657179214,1.2814043795016716e-06,128
7,10.653385162353516,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
23,10.662697792053223,1,2,2,0.1,0.0001950568556745759,2.0936729835591547e-06,256
